particle	component	position_label	corruption_mode	target_type	eval_mode	top_k	site_set_type	effect_score_mean	effect_score_ci_low	effect_score_ci_high	run_label	run_label_pretty	run_dir
just	attn	prompt_boundary	prompt_without	generated	necessity	1	localized	0.0007080313319477			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	necessity	1	random_mean	0.0003366406055915			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	necessity	3	localized	0.0046167894064528			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	necessity	3	random_mean	0.0017493066910263			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	necessity	5	localized	0.0069637915398828			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	necessity	5	random_mean	0.0021914932322736			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	necessity	10	localized	0.0130136747005369			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	necessity	10	random_mean	0.0039324467500531			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	1	localized	-0.0007141059481905			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	1	random_mean	0.0001149586516352			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	3	localized	0.0006378782773172			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	3	random_mean	0.0013310304855295			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	5	localized	9.732888134315497e-05			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	5	random_mean	0.0022040492307294			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	10	localized	0.0003323884439692			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	necessity	10	random_mean	0.0038497546263371			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	1	localized	0.0007683883671188			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	1	random_mean	0.0008961532348285			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	3	localized	0.0064060564307082			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	3	random_mean	0.0023017532301404			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	5	localized	0.0099957950916276			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	5	random_mean	0.0045169299327251			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	10	localized	0.0174209717279742			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	generated	sufficiency	10	random_mean	0.0078129284853501			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	1	localized	-7.981209770580616e-05			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	1	random_mean	-0.0001250420675748			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	3	localized	0.0021912254369856			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	3	random_mean	-0.0002455760165978			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	5	localized	0.0015446284588534			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	5	random_mean	0.0024154864437802			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	10	localized	0.0025633799283557			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	attn	prompt_boundary	prompt_without	gold	sufficiency	10	random_mean	0.0037499344985636			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	mlp	prompt_boundary	prompt_without	generated	necessity	1	localized	0.0005410053795114			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	mlp	prompt_boundary	prompt_without	generated	necessity	1	random_mean	0.0014818138139449			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	mlp	prompt_boundary	prompt_without	generated	necessity	3	localized	0.002993077806362			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	mlp	prompt_boundary	prompt_without	generated	necessity	3	random_mean	0.0034272498657381			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	mlp	prompt_boundary	prompt_without	generated	necessity	5	localized	0.0050778929530108			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	mlp	prompt_boundary	prompt_without	generated	necessity	5	random_mean	0.0041058778365915			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
just	mlp	prompt_boundary	prompt_without	generated	necessity	10	localized	0.0113142517599066			full	Full	/datastor1/jiahuikchen/Just_LLMs/localization/results/component_patch_runs/20260608_1757_Meta-Llama-3-8B_just_only_prompt_boundary_full/just
