particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
not	residual_stream	utterance_final	prompt_without	necessity	generated	1	localized	-0.0182614693107858	-0.0196477191419244	-0.0168752194796472	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0182614693107858	0.0168752194796472	0.0196477191419244	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0013455586461607	-0.0020600766727701	-0.0006310406195513	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0013455586461607	0.0006310406195513	0.0020600766727701	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	generated	3	localized	-0.0318568545265256	-0.0368227770139683	-0.0268909320390828	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0318568545265256	0.0268909320390828	0.0368227770139683	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.0081883207470565	-0.0110996486969225	-0.0052769927971905	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0081883207470565	0.0052769927971905	0.0110996486969225	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	generated	5	localized	-0.0399291276476299	-0.0475432377249511	-0.0323150175703087	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0399291276476299	0.0323150175703087	0.0475432377249511	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0119051228153482	-0.0145622171754942	-0.0092480284552021	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0119051228153482	0.0092480284552021	0.0145622171754942	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	generated	10	localized	-0.0524882671468875	-0.057377834466857	-0.0475986998269181	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0524882671468875	0.0475986998269181	0.057377834466857	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.007758164220166	-0.0090175382488745	-0.0064987901914575	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.007758164220166	0.0064987901914575	0.0090175382488745	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	1	localized	-0.0084281816431303	-0.0152017008749907	-0.0016546624112699	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0084281816431303	0.0016546624112699	0.0152017008749907	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	1	random_mean	0.0005135174560739	0.0001848619607304	0.0008421729514175	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	-0.0005135174560739	-0.0008421729514175	-0.0001848619607304	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	3	localized	-0.010979376256576	-0.0176629579423569	-0.004295794570795	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.010979376256576	0.004295794570795	0.0176629579423569	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	3	random_mean	0.0005789261081593	-0.0015800815728779	0.0027379337891965	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	-0.0005789261081593	-0.0027379337891965	0.0015800815728779	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	5	localized	-0.0136019427595592	-0.0188171990134577	-0.0083866865056606	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0136019427595592	0.0083866865056606	0.0188171990134577	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	5	random_mean	-0.0009572088502274	-0.0039772057481511	0.0020627880476962	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0009572088502274	-0.0020627880476962	0.0039772057481511	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	10	localized	-0.0178311561020492	-0.0264024120148468	-0.0092599001892515	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	0.0178311561020492	0.0092599001892515	0.0264024120148468	patched_minus_baseline
not	residual_stream	utterance_final	prompt_without	necessity	gold	10	random_mean	0.0019439531386379	-0.0006991702202556	0.0045870764975315	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/not	-0.0019439531386379	-0.0045870764975315	0.0006991702202556	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	1	localized	-0.0131906431390433	-0.0132909656621314	-0.0130903206159553	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0131906431390433	0.0130903206159553	0.0132909656621314	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0030591642436876	-0.004754377570198	-0.0013639509171772	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0030591642436876	0.0013639509171772	0.004754377570198	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	3	localized	-0.0189713036671271	-0.0197964408066943	-0.0181461665275599	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0189713036671271	0.0181461665275599	0.0197964408066943	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.0074457576556471	-0.0096444939304603	-0.005247021380834	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0074457576556471	0.005247021380834	0.0096444939304603	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	5	localized	-0.0232215013679806	-0.0234174182053963	-0.0230255845305649	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0232215013679806	0.0230255845305649	0.0234174182053963	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.009921263481325	-0.0114986111410353	-0.0083439158216147	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.009921263481325	0.0083439158216147	0.0114986111410353	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	10	localized	-0.0299626335557116	-0.0305723271216868	-0.0293529399897363	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0299626335557116	0.0293529399897363	0.0305723271216868	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0066071488388768	-0.0070247457399423	-0.0061895519378112	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0066071488388768	0.0061895519378112	0.0070247457399423	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	1	localized	-0.0031535350928673	-0.0050407759878893	-0.0012662941978452	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0031535350928673	0.0012662941978452	0.0050407759878893	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	1	random_mean	-0.0006003344713894	-0.0016036123036416	0.0004029433608626	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0006003344713894	-0.0004029433608626	0.0016036123036416	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	3	localized	-0.0023554731156241	-0.0031938097861363	-0.0015171364451118	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0023554731156241	0.0015171364451118	0.0031938097861363	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	3	random_mean	-0.0006807366936537	-0.0026396142473359	0.0012781408600283	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0006807366936537	-0.0012781408600283	0.0026396142473359	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	5	localized	-0.0017409209951078	-0.002082215186142	-0.0013996268040737	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0017409209951078	0.0013996268040737	0.002082215186142	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	5	random_mean	-0.000375364941081	-0.0011965130607584	0.0004457831785963	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.000375364941081	-0.0004457831785963	0.0011965130607584	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	10	localized	-0.0023495462569177	-0.0029437582732593	-0.0017553342405761	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0023495462569177	0.0017553342405761	0.0029437582732593	patched_minus_baseline
just	residual_stream	utterance_final	prompt_without	necessity	gold	10	random_mean	-0.0017151455894566	-0.0030273692628079	-0.0004029219161053	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/just	0.0017151455894566	0.0004029219161053	0.0030273692628079	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	1	localized	-0.0103461899685638	-0.0107138329319724	-0.0099785470051551	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0103461899685638	0.0099785470051551	0.0107138329319724	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0025305185309575	-0.0026780521705449	-0.0023829848913702	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0025305185309575	0.0023829848913702	0.0026780521705449	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	3	localized	-0.0180771703650495	-0.0199290126600631	-0.0162253280700359	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0180771703650495	0.0162253280700359	0.0199290126600631	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.006198861376071	-0.0074111631455411	-0.0049865596066009	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.006198861376071	0.0049865596066009	0.0074111631455411	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	5	localized	-0.0198503826834755	-0.0222000382596365	-0.0175007271073146	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0198503826834755	0.0175007271073146	0.0222000382596365	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0085758084229702	-0.0086902974923762	-0.0084613193535643	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0085758084229702	0.0084613193535643	0.0086902974923762	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	10	localized	-0.0245599247579417	-0.0254947727152714	-0.023625076800612	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0245599247579417	0.023625076800612	0.0254947727152714	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0045103314955891	-0.0052216179391254	-0.0037990450520527	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0045103314955891	0.0037990450520527	0.0052216179391254	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	1	localized	-0.0033758858518951	-0.0048268319258329	-0.0019249397779574	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0033758858518951	0.0019249397779574	0.0048268319258329	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	1	random_mean	-0.0004909165770191	-0.00070791941487	-0.0002739137391681	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0004909165770191	0.0002739137391681	0.00070791941487	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	3	localized	-0.006840419521076	-0.008932745371641	-0.0047480936705109	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.006840419521076	0.0047480936705109	0.008932745371641	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	3	random_mean	-0.001764578441164	-0.0019910555449232	-0.0015381013374048	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.001764578441164	0.0015381013374048	0.0019910555449232	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	5	localized	-0.0067576644329955	-0.0082324471791582	-0.0052828816868328	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0067576644329955	0.0052828816868328	0.0082324471791582	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	5	random_mean	-0.0026687867237009	-0.0033930655505769	-0.0019445078968248	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0026687867237009	0.0019445078968248	0.0033930655505769	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	10	localized	-0.0096845298521006	-0.0101838663240987	-0.0091851933801025	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0096845298521006	0.0091851933801025	0.0101838663240987	patched_minus_baseline
only	residual_stream	utterance_final	prompt_without	necessity	gold	10	random_mean	-0.0009454895597001	-0.0011825343926272	-0.000708444726773	residual	expanded	Expanded	localization/results/component_patch_runs/20260723_expanded_utterance_final_Meta-Llama-3-8B_not_just_only_full/only	0.0009454895597001	0.000708444726773	0.0011825343926272	patched_minus_baseline
