particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir	native_particle	effect_score_original_mean	effect_score_original_ci_low	effect_score_original_ci_high	metric_sign_convention
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	1	localized	-0.0092084509778186	-0.00943840063712	-0.0089785013185172	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0092084509778186	0.0089785013185172	0.00943840063712	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	1	random_mean	-0.0011616890976387	-0.001402387049365	-0.0009209911459124	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0011616890976387	0.0009209911459124	0.001402387049365	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	3	localized	-0.0210467188842025	-0.0230536567912866	-0.0190397809771184	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0210467188842025	0.0190397809771184	0.0230536567912866	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	3	random_mean	-0.002825461229888	-0.0031581316402684	-0.0024927908195075	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.002825461229888	0.0024927908195075	0.0031581316402684	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	5	localized	-0.0309977360353982	-0.0313343291871409	-0.0306611428836555	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0309977360353982	0.0306611428836555	0.0313343291871409	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	5	random_mean	-0.0025285650640478	-0.0040356206566304	-0.0010215094714653	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0025285650640478	0.0010215094714653	0.0040356206566304	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	10	localized	-0.0538039389201296	-0.0559907979940361	-0.051617079846223	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0538039389201296	0.051617079846223	0.0559907979940361	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	generated	10	random_mean	-0.0034192638562625	-0.003793570704249	-0.003044957008276	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.0034192638562625	0.003044957008276	0.003793570704249	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	gold	1	localized	-0.007328138694115	-0.0094330081974066	-0.0052232691908234	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		0.007328138694115	0.0052232691908234	0.0094330081974066	patched_minus_baseline
nonexclusive_just_to_only	attn	utterance_final	prompt_without	necessity	gold	1	random_mean	0.0004820540916925	-0.0017308988730431	0.0026950070564282	component	transfer	Transfer	localization/results/component_transfer_runs/20260729_llama3_instruct_nonexclusive_just_only_cross_patch/nonexclusive_just_to_only		-0.0004820540916925	-0.0026950070564282	0.0017308988730431	patched_minus_baseline
