particle	component	position_label	corruption_mode	eval_mode	target_type	top_k	site_set_type	effect_score_mean	effect_score_mean_ci_low	effect_score_mean_ci_high	method	run_label	run_label_pretty	run_dir
not	residual_stream	utterance_final	prompt_without	necessity	generated	1	localized	0.0137689414064644	0.0112610655458685	0.0162768172670602	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	generated	1	random_mean	0.0010829274175434	0.0001447871668989	0.002021067668188	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	generated	3	localized	0.0226961952666661	0.0225245670918553	0.0228678234414768	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	generated	3	random_mean	0.0058992026697902	0.0050659584103999	0.0067324469291806	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	generated	5	localized	0.0303393461182428	0.025214495842439	0.0354641963940467	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	generated	5	random_mean	0.0066539301433605	0.0046071930280399	0.0087006672586812	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	generated	10	localized	0.0371346400782956	0.0308934137698453	0.0433758663867458	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	generated	10	random_mean	0.00431535968219	0.0039041390372446	0.0047265803271353	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	1	localized	0.0060261251043524	0.0046516965925112	0.0074005536161935	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	1	random_mean	-0.0001350235336657	-0.0002610099015814	-9.037165750042098e-06	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	3	localized	0.0094545403292974	0.0085860024966677	0.0103230781619271	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	3	random_mean	0.0017053270778437	0.0016086484739439	0.0018020056817435	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	5	localized	0.0150243680011021	0.01019297723401	0.0198557587681942	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	5	random_mean	0.0005094725369508	-0.0003812446399805	0.0014001897138823	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	10	localized	0.0200666933032547	0.009912758013822	0.0302206285926874	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	necessity	gold	10	random_mean	-0.0005479552638223	-0.001271258825792	0.0001753482981473	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	1	localized	0.0328973031393254	0.0274080724064743	0.0383865338721765	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
not	residual_stream	utterance_final	prompt_without	sufficiency	generated	1	random_mean	0.0107169762416749	0.0104171300406873	0.0110168224426625	residual	utterance_final	Utterance Final	localization/results/component_patch_runs/20260608_utterance_final_Meta-Llama-3-8B_not_just_only_full/not
