particle	target_type	mask_percent	ablation_condition	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	log_prob_with_mean	log_prob_with_mean_sd	log_prob_with_mean_ci_low	log_prob_with_mean_ci_high	log_prob_without_mean	log_prob_without_mean_sd	log_prob_without_mean_ci_low	log_prob_without_mean_ci_high	context_advantage_mean	context_advantage_mean_sd	context_advantage_mean_ci_low	context_advantage_mean_ci_high	log_prob_with_per_token_mean	log_prob_with_per_token_mean_sd	log_prob_with_per_token_mean_ci_low	log_prob_with_per_token_mean_ci_high	log_prob_without_per_token_mean	log_prob_without_per_token_mean_sd	log_prob_without_per_token_mean_ci_low	log_prob_without_per_token_mean_ci_high	context_advantage_per_token_mean	context_advantage_per_token_mean_sd	context_advantage_per_token_mean_ci_low	context_advantage_per_token_mean_ci_high	log_prob_with_change_from_none_mean	log_prob_with_change_from_none_mean_sd	log_prob_with_change_from_none_mean_ci_low	log_prob_with_change_from_none_mean_ci_high	log_prob_without_change_from_none_mean	log_prob_without_change_from_none_mean_sd	log_prob_without_change_from_none_mean_ci_low	log_prob_without_change_from_none_mean_ci_high	context_advantage_change_from_none_mean	context_advantage_change_from_none_mean_sd	context_advantage_change_from_none_mean_ci_low	context_advantage_change_from_none_mean_ci_high	log_prob_with_per_token_change_from_none_mean	log_prob_with_per_token_change_from_none_mean_sd	log_prob_with_per_token_change_from_none_mean_ci_low	log_prob_with_per_token_change_from_none_mean_ci_high	log_prob_without_per_token_change_from_none_mean	log_prob_without_per_token_change_from_none_mean_sd	log_prob_without_per_token_change_from_none_mean_ci_low	log_prob_without_per_token_change_from_none_mean_ci_high	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_mean_sd	context_advantage_per_token_change_from_none_mean_ci_low	context_advantage_per_token_change_from_none_mean_ci_high	baseline_positive_fraction	baseline_positive_fraction_sd	baseline_positive_fraction_ci_low	baseline_positive_fraction_ci_high	current_positive_fraction	current_positive_fraction_sd	current_positive_fraction_ci_low	current_positive_fraction_ci_high	positive_to_nonpositive_rate	positive_to_nonpositive_rate_sd	positive_to_nonpositive_rate_ci_low	positive_to_nonpositive_rate_ci_high	prompt_with_decrease_fraction	prompt_with_decrease_fraction_sd	prompt_with_decrease_fraction_ci_low	prompt_with_decrease_fraction_ci_high	context_advantage_decrease_fraction	context_advantage_decrease_fraction_sd	context_advantage_decrease_fraction_ci_low	context_advantage_decrease_fraction_ci_high	localized_stronger_drop_than_random_mean_fraction	localized_stronger_drop_than_random_mean_fraction_sd	localized_stronger_drop_than_random_mean_fraction_ci_low	localized_stronger_drop_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_drop_than_random_mean_fraction_items	log_prob_with_per_token_change_from_none_localized_minus_random_mean_mean	log_prob_without_per_token_change_from_none_localized_minus_random_mean_mean	context_advantage_per_token_change_from_none_localized_minus_random_mean_mean
not	generated	0.5	localized	2	0,1	14.0	17.857142857142858	-25.990093010650245	0.19218328764356668	-26.125987116573736	-25.854198904726754	-27.903474861216566	0.19418927738762495	-28.04078741609107	-27.76616230634206	1.9133818505663274	0.002005989744051225	1.9119634016153182	1.9148002995173368	-2.236693284010814	0.1944752776174092	-2.37420807158722	-2.099178496434407	-2.404799379804312	0.2141286230187286	-2.5562111811869928	-2.253387578421631	0.168106095793498	0.019653345401319258	0.1542090819872237	0.18200310959977228	-0.5991036199732573	0.1870791100455156	-0.7313885273047858	-0.46681871264172886	-0.5744435897433864	0.16006872667433772	-0.6876292718307067	-0.4612579076560662	-0.02466003022987082	0.027010383371177872	-0.04375925547407905	-0.005560804985662586	-0.04848177277239413	0.019138386913617196	-0.06201465593998473	-0.03494888960480353	-0.047029500046456674	0.016675794618765945	-0.05882106750306021	-0.03523793258985313	-0.0014522727259374606	0.002462592294851236	-0.0031935884369245116	0.0002890429850495903	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.9642857142857143	0.05050762722761051	0.9285714285714286	1.0	0.6785714285714286	0.05050762722761051	0.6428571428571429	0.7142857142857143	0.6071428571428572	0.15152288168283162	0.5	0.7142857142857143	0.4375	0.037880720420707926	0.4107142857142857	0.4642857142857143	0.6071428571428571	-0.009086051181588934	-0.008450379804417511	-0.0006356713771714259
not	generated	0.5	none	2	0,1	14.0	17.857142857142858	-25.390989390676985	0.37926239768908854	-25.659168403932007	-25.12281037742196	-27.329031271473184	0.35425800406195934	-27.579529508435005	-27.07853303451136	1.9380418807961983	0.02500439362712653	1.9203611045029996	1.9557226570893973	-2.1882115112384195	0.17533689070379216	-2.3121934156472355	-2.0642296068296035	-2.3577698797578543	0.19745282839996256	-2.497390113683932	-2.2181496458317773	0.1695583685194354	0.022115937696170478	0.15392003900217407	0.18519669803669675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	0.5	random_mean	2	0,1	14.0	17.857142857142858	-25.879449416397602	0.3942701060066161	-26.15824048197402	-25.600658350821185	-27.812413327876932	0.3791239102430914	-28.080494415719784	-27.544332240034084	1.932963911479332	0.015146195763525524	1.9222539337457643	1.9436738892129	-2.2276072328292242	0.17699775494112327	-2.3527635456028873	-2.1024509200555612	-2.396348999999894	0.19831808691142422	-2.5365810640869055	-2.256116935912883	0.16874176717066944	0.021320331970300956	0.1536660158573213	0.1838175184840176	-0.4884600257206163	0.015007708317531234	-0.49907207804201237	-0.4778479733992202	-0.4833820564037504	0.02486590618113224	-0.5009649072847775	-0.4657992055227233	-0.0050779693168659865	0.009858197863601065	-0.012048767876497035	0.0018928292427650626	-0.039395721590805205	0.0016608642373312408	-0.040570129955652345	-0.03822131322595806	-0.03857912024203916	0.000865258511461692	-0.0391909504029731	-0.03796729008110522	-0.0008166013487660348	0.0007956057258695488	-0.0013791795526792382	-0.00025402314485283153	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.9642857142857143	0.05050762722761051	0.9285714285714286	1.0	0.5357142857142857	0.15152288168283165	0.42857142857142855	0.6428571428571429												
not	generated	1.0	localized	2	0,1	14.0	17.857142857142858	-26.7238149658926	0.3906986574971316	-27.000080636009304	-26.4475492957759	-28.599895019550697	0.36060561749956976	-28.854881697018605	-28.34490834208279	1.876080053658094	0.03009303999755851	1.8548010610093022	1.8973590463068855	-2.2981738381509125	0.1719156072357721	-2.41973652981913	-2.1766111464826947	-2.463427013673466	0.1931876297563505	-2.600031296715538	-2.326822730631395	0.1652531755225543	0.0212720225205785	0.1502115841487003	0.18029476689640833	-1.3328255752156193	0.011436259808042916	-1.3409122320772975	-1.3247389183539409	-1.2708637480775145	0.006347613437610622	-1.2753521885835999	-1.2663753075714292	-0.06196182713810456	0.005088646370432244	-0.06556004349369751	-0.05836361078251161	-0.1099623269124928	0.003421283468020207	-0.11238153965309132	-0.10754311417189429	-0.10565713391561171	0.0042651986436121996	-0.10867308479961756	-0.10264118303160585	-0.004305192996881111	0.0008439151755919805	-0.004901931140288436	-0.0037084548534737855	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6785714285714286	0.05050762722761051	0.6428571428571429	0.7142857142857143	0.5	0.10101525445522107	0.42857142857142855	0.5714285714285714	0.5089285714285714	0.06313453403451318	0.4642857142857143	0.5535714285714286	0.5	-0.027361559012142985	-0.028180489288924214	0.0008189302767812274
not	generated	1.0	none	2	0,1	14.0	17.857142857142858	-25.390989390676985	0.37926239768908854	-25.659168403932007	-25.12281037742196	-27.329031271473184	0.35425800406195934	-27.579529508435005	-27.07853303451136	1.9380418807961983	0.02500439362712653	1.9203611045029996	1.9557226570893973	-2.1882115112384195	0.17533689070379216	-2.3121934156472355	-2.0642296068296035	-2.3577698797578543	0.19745282839996256	-2.497390113683932	-2.2181496458317773	0.1695583685194354	0.022115937696170478	0.15392003900217407	0.18519669803669675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	1.0	random_mean	2	0,1	14.0	17.857142857142858	-26.435539326861743	0.3769073311840062	-26.70205305662088	-26.16902559710261	-28.325312054869134	0.38310261067582546	-28.59620650876828	-28.054417600969987	1.8897727280073866	0.006195279491819719	1.885392003867375	1.8941534521473984	-2.2708122791387693	0.18447159197383192	-2.401253392759744	-2.140371165517795	-2.4352465243845423	0.20390409672520565	-2.579428493890653	-2.2910645548784316	0.1644342452457731	0.019432504751374535	0.15069338936063637	0.17817510113090984	-1.0445499361847572	0.002355066505084365	-1.0462152196806476	-1.0428846526888667	-0.9962807833959455	0.028844606613861963	-1.0166770003332657	-0.9758845664586254	-0.048269152788811574	0.0311996731189463	-0.07033065322202214	-0.026207652355601	-0.08260076790034981	0.009134701270039234	-0.08905997711250793	-0.07614155868819171	-0.07747664462668749	0.0064512683252433	-0.08203838020672101	-0.07291490904665397	-0.005124123273662338	0.0026834329447959506	-0.007021596905786941	-0.0032266496415377347	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6785714285714286	0.15152288168283162	0.5714285714285714	0.7857142857142857												
not	generated	5.0	localized	2	0,1	14.0	17.857142857142858	-31.90937474713492	0.5175862889869591	-32.27536352192678	-31.54338597234306	-33.65333868504953	0.5868773909542614	-34.068323667918364	-33.23835370218071	1.7439639379146161	0.06929110196730677	1.6949677298376449	1.7929601459915872	-2.7267984431241095	0.28309573724573417	-2.926977358655573	-2.5266195275926457	-2.8772262468890766	0.30818148244622856	-3.0951434629629277	-2.6593090308152254	0.15042780376496762	0.02508574520049452	0.13268950322258005	0.16816610430735518	-6.5183853564579355	0.8968486866760439	-7.152553144504815	-5.884217568411056	-6.324307413576353	0.9411353950162238	-6.989790633407004	-5.6588241937457004	-0.19407794288158248	0.04428670834018023	-0.22539337466535475	-0.1627625110978102	-0.5385869318856897	0.10775884654194191	-0.6147839430083374	-0.46238992076304203	-0.5194563671312219	0.11072865404626603	-0.5977533492789958	-0.4411593849834479	-0.019130564754467824	0.002969807504324029	-0.021230535779594044	-0.017030593729341608	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.8928571428571428	0.15152288168283162	0.7857142857142857	1.0	0.39285714285714285	0.15152288168283162	0.2857142857142857	0.5	0.6071428571428572	0.1262690680690263	0.5178571428571429	0.6964285714285714	0.39285714285714285	0.08443314062740688	0.07362863332732528	0.010804507300081626
not	generated	5.0	none	2	0,1	14.0	17.857142857142858	-25.390989390676985	0.37926239768908854	-25.659168403932007	-25.12281037742196	-27.329031271473184	0.35425800406195934	-27.579529508435005	-27.07853303451136	1.9380418807961983	0.02500439362712653	1.9203611045029996	1.9557226570893973	-2.1882115112384195	0.17533689070379216	-2.3121934156472355	-2.0642296068296035	-2.3577698797578543	0.19745282839996256	-2.497390113683932	-2.2181496458317773	0.1695583685194354	0.022115937696170478	0.15392003900217407	0.18519669803669675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	5.0	random_mean	2	0,1	14.0	17.857142857142858	-33.213590050269175	0.7486439733122592	-33.742961280492715	-32.684218820045636	-34.876202357266344	0.8317163824872624	-35.46431465134703	-34.288090063185656	1.6626123069971728	0.08307240917500218	1.603871243140025	1.7213533708543203	-2.811231583751516	0.20207753083163857	-2.9541219761280013	-2.668341191375031	-2.9508548802164016	0.21643511314436772	-3.1038976164076617	-2.7978121440251416	0.13962329646488597	0.014357582312729203	0.12947095265011113	0.14977564027966084	-7.822600659592185	0.36938157562317503	-8.083792876560704	-7.561408442623667	-7.54717108579316	0.47745837842530314	-7.884785142912024	-7.209557028674295	-0.27542957379902544	0.10807680280212861	-0.35185141394937186	-0.19900773364867905	-0.6230200725130965	0.02674064012784673	-0.6419285604807661	-0.604111584545427	-0.5930850004585471	0.01898228474440553	-0.6065075027237301	-0.5796624981933639	-0.029935072054549455	0.007758355383441295	-0.035421057757035954	-0.02444908635206296	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.8214285714285714	0.15152288168283162	0.7142857142857143	0.9285714285714286												
not	gold	0.5	localized	2	0,1	14.0	1.0	-29.2513333431312	3.7760152918095655	-31.921379361833846	-26.58128732442856	-30.232393954481395	3.38125176641355	-32.62330000741141	-27.841487901551382	0.9810606113501958	0.3947635253960132	0.701920645577567	1.2602005771228246	-2.1487111473173366	0.026205840579922948	-2.1672414748980935	-2.1301808197365792	-2.236854485847334	0.04159674938485529	-2.2662678294126826	-2.2074411422819855	0.08814333852999742	0.015390908804932189	0.07726032254540613	0.09902635451458872	-0.6756950403962817	0.2537784034911395	-0.8551434704235622	-0.49624661036900114	-0.740763783454895	0.24181171502420323	-0.9117504869188581	-0.569777079990932	0.06506874305861336	0.011966688466936194	0.05660701649529593	0.0735304696219308	-0.0514146917760528	0.030585994458241228	-0.07304225586680933	-0.029787127685296264	-0.056750333365168576	0.031224212202931406	-0.07882918555106912	-0.03467148117926803	0.005335641589115774	0.0006382177446901843	0.00488435349397176	0.005786929684259788	0.7857142857142858	0.20203050891044214	0.6428571428571429	0.9285714285714286	0.75	0.25253813613805276	0.5714285714285714	0.9285714285714286	0.05555555555555555	0.07856742013183861	0.0	0.1111111111111111	0.7857142857142857	0.0	0.7857142857142857	0.7857142857142857	0.3571428571428571	0.10101525445522107	0.2857142857142857	0.42857142857142855	0.39285714285714285	0.25253813613805265	0.21428571428571427	0.5714285714285714	0.5446428571428572	0.1136421612621237	0.4642857142857143	0.625	0.39285714285714285	-0.030980051761290213	-0.036906172281561296	0.005926120520271079
