particle	target_type	mask_percent	ablation_condition	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	log_prob_with_mean	log_prob_with_mean_sd	log_prob_with_mean_ci_low	log_prob_with_mean_ci_high	log_prob_without_mean	log_prob_without_mean_sd	log_prob_without_mean_ci_low	log_prob_without_mean_ci_high	context_advantage_mean	context_advantage_mean_sd	context_advantage_mean_ci_low	context_advantage_mean_ci_high	log_prob_with_per_token_mean	log_prob_with_per_token_mean_sd	log_prob_with_per_token_mean_ci_low	log_prob_with_per_token_mean_ci_high	log_prob_without_per_token_mean	log_prob_without_per_token_mean_sd	log_prob_without_per_token_mean_ci_low	log_prob_without_per_token_mean_ci_high	context_advantage_per_token_mean	context_advantage_per_token_mean_sd	context_advantage_per_token_mean_ci_low	context_advantage_per_token_mean_ci_high	log_prob_with_change_from_none_mean	log_prob_with_change_from_none_mean_sd	log_prob_with_change_from_none_mean_ci_low	log_prob_with_change_from_none_mean_ci_high	log_prob_without_change_from_none_mean	log_prob_without_change_from_none_mean_sd	log_prob_without_change_from_none_mean_ci_low	log_prob_without_change_from_none_mean_ci_high	context_advantage_change_from_none_mean	context_advantage_change_from_none_mean_sd	context_advantage_change_from_none_mean_ci_low	context_advantage_change_from_none_mean_ci_high	log_prob_with_per_token_change_from_none_mean	log_prob_with_per_token_change_from_none_mean_sd	log_prob_with_per_token_change_from_none_mean_ci_low	log_prob_with_per_token_change_from_none_mean_ci_high	log_prob_without_per_token_change_from_none_mean	log_prob_without_per_token_change_from_none_mean_sd	log_prob_without_per_token_change_from_none_mean_ci_low	log_prob_without_per_token_change_from_none_mean_ci_high	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_mean_sd	context_advantage_per_token_change_from_none_mean_ci_low	context_advantage_per_token_change_from_none_mean_ci_high	baseline_positive_fraction	baseline_positive_fraction_sd	baseline_positive_fraction_ci_low	baseline_positive_fraction_ci_high	current_positive_fraction	current_positive_fraction_sd	current_positive_fraction_ci_low	current_positive_fraction_ci_high	positive_to_nonpositive_rate	positive_to_nonpositive_rate_sd	positive_to_nonpositive_rate_ci_low	positive_to_nonpositive_rate_ci_high	prompt_with_decrease_fraction	prompt_with_decrease_fraction_sd	prompt_with_decrease_fraction_ci_low	prompt_with_decrease_fraction_ci_high	context_advantage_decrease_fraction	context_advantage_decrease_fraction_sd	context_advantage_decrease_fraction_ci_low	context_advantage_decrease_fraction_ci_high	localized_stronger_drop_than_random_mean_fraction	localized_stronger_drop_than_random_mean_fraction_sd	localized_stronger_drop_than_random_mean_fraction_ci_low	localized_stronger_drop_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_drop_than_random_mean_fraction_items	log_prob_with_per_token_change_from_none_localized_minus_random_mean_mean	log_prob_without_per_token_change_from_none_localized_minus_random_mean_mean	context_advantage_per_token_change_from_none_localized_minus_random_mean_mean
only	generated	0.5	localized	2	0,1	15.0	16.666666666666668	-24.095764612844036	1.0801121758966685	-24.85951925686273	-23.332009968825346	-24.77505266557239	1.1446956278191198	-25.58447470639788	-23.965630624746897	0.6792880527283514	0.0645834519224449	0.6336206559215553	0.7249554495351476	-2.0208618649929138	0.24299194280554512	-2.1926831155244084	-1.849040614461419	-2.0856489255879644	0.2553710161563875	-2.266223502830645	-1.9050743483452832	0.0647870605950505	0.012379073350842614	0.05603373388386401	0.07354038730623699	-0.5940155069296693	0.05558215292011152	-0.6333180241724278	-0.5547129896869107	-0.5733302922149291	0.04479807125754269	-0.6050073121852158	-0.5416532722446425	-0.02068521471474003	0.010784081662568496	-0.02831071198721171	-0.013059717442268349	-0.049479045811729606	0.002071574287298261	-0.050943870038009896	-0.04801422158544932	-0.04826779928270023	0.0009911608720707204	-0.04896865585658821	-0.04756694270881225	-0.001211246529029356	0.001080413415227517	-0.00197521418142165	-0.00044727887663706156	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5666666666666667	0.23570226039551578	0.4	0.7333333333333333	0.5	0.14142135623730948	0.4	0.6	0.525	0.12963624321753373	0.43333333333333335	0.6166666666666667	0.5	-0.015423411190720167	-0.015825408202412832	0.0004019970116926714
only	generated	0.5	none	2	0,1	15.0	16.666666666666668	-23.501749105914367	1.1356943288167796	-24.304806267175817	-22.698691944652918	-24.201722373357462	1.189493699076653	-25.042821434153232	-23.36062331256169	0.6999732674430914	0.05379937025987623	0.661931367908767	0.7380151669774158	-1.971382819181184	0.24506351709284316	-2.1446688939389587	-1.798096744423409	-2.037381126305264	0.25636217702845837	-2.218656560121833	-1.856105692488695	0.06599830712407986	0.011298659935615084	0.058008948065285684	0.07398766618287406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	0.5	random_mean	2	0,1	15.0	16.666666666666668	-23.933977741494964	1.177822938712989	-24.766824328495986	-23.10113115449394	-24.619716087942834	1.233071745397126	-25.491629480802672	-23.747802695082992	0.6857383464478648	0.05524880668413538	0.6466715405890481	0.7248051523066816	-2.0054384538021934	0.2473787320921668	-2.180361632785895	-1.830515274818492	-2.0698235173855513	0.25874366842799806	-2.2527829199200724	-1.8868641148510303	0.06438506358335784	0.011364936335831435	0.05634884003253804	0.07242128713417764	-0.43222863558059477	0.04212860989620975	-0.4620180613201674	-0.40243920984102216	-0.41799371458536827	0.04357804632046909	-0.44880804664943347	-0.38717938252130313	-0.014234920995226505	0.0014494364242592704	-0.015259827319719017	-0.013210014670733993	-0.03405563462100944	0.0023152149993232547	-0.035692738846935725	-0.03241853039508316	-0.03244239108028742	0.002381491399539618	-0.034126359798239324	-0.030758422362335513	-0.0016132435407220274	6.627640021636965e-05	-0.001660108032747656	-0.0015663790486963988	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.7333333333333333	0.0	0.7333333333333333	0.7333333333333333												
only	generated	1.0	localized	2	0,1	15.0	16.666666666666668	-24.378516694242556	1.0093026096604343	-25.09220141380273	-23.664831974682386	-25.051618215071144	1.0757350145688478	-25.812277738632588	-24.290958691509704	0.6731015208285873	0.06643240490841501	0.6261267168273166	0.7200763248298581	-2.0418771370559385	0.23212828336923347	-2.206016620331516	-1.877737653780361	-2.1060192250542222	0.2450541992884881	-2.2792987111293517	-1.9327397389790926	0.06414208799828411	0.012925915919254754	0.055002085198731926	0.07328209079783629	-0.8767675883281894	0.12639171915634603	-0.9661400300294674	-0.7873951466269115	-0.8498958417136855	0.1137586845078071	-0.9303353789480169	-0.769456304479354	-0.026871746614504005	0.01263303464853878	-0.03580465108145039	-0.01793884214755762	-0.07049431787475433	0.012935233723609786	-0.07964090935695173	-0.06134772639255694	-0.06863809874895858	0.011307977739970136	-0.076634046490398	-0.06064215100751917	-0.0018562191257957502	0.001627255983639667	-0.0030068628665537445	-0.0007055753850377561	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.7	0.23570226039551587	0.5333333333333333	0.8666666666666667	0.6666666666666667	0.1885618083164127	0.5333333333333333	0.8	0.44999999999999996	0.21213203435596426	0.3	0.6	0.6666666666666666	0.010864546812156038	0.01130608267595996	-0.00044153586380391783
only	generated	1.0	none	2	0,1	15.0	16.666666666666668	-23.501749105914367	1.1356943288167796	-24.304806267175817	-22.698691944652918	-24.201722373357462	1.189493699076653	-25.042821434153232	-23.36062331256169	0.6999732674430914	0.05379937025987623	0.661931367908767	0.7380151669774158	-1.971382819181184	0.24506351709284316	-2.1446688939389587	-1.798096744423409	-2.037381126305264	0.25636217702845837	-2.218656560121833	-1.856105692488695	0.06599830712407986	0.011298659935615084	0.058008948065285684	0.07398766618287406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	1.0	random_mean	2	0,1	15.0	16.666666666666668	-24.527403404554967	1.2195425992032802	-25.389750246397476	-23.66505656271246	-25.220359009099703	1.2554682487147448	-26.108109121330298	-24.332608896869107	0.6929556045447332	0.03592564951146722	0.6675523341566435	0.7183588749328228	-2.0527416838680947	0.25591821441516976	-2.233703188710214	-1.8717801790259752	-2.117325307730182	0.2651145151209276	-2.3047895791631734	-1.9298610362971906	0.06458362386208803	0.009196300705757771	0.058080857271216084	0.07108639045295999	-1.0256542986406025	0.08384827038649631	-1.0849439792216573	-0.9663646180595479	-1.0186366357422445	0.06597454963808738	-1.0652876871770647	-0.9719855843074245	-0.007017662898358276	0.017873720748409157	-0.019656292044593085	0.005620966247876533	-0.08135886468691036	0.010854697322326393	-0.08903429477125482	-0.07368343460256592	-0.07994418142491855	0.008752338092469085	-0.08613301904134077	-0.07375534380849633	-0.0014146832619918329	0.002102359229857307	-0.0029012757299140624	7.190920593039661e-05	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6333333333333333	0.23570226039551587	0.4666666666666667	0.8												
only	generated	5.0	localized	2	0,1	15.0	16.666666666666668	-28.68713590275423	1.7659036916408977	-29.935818378035865	-27.43845342747259	-29.324187855796865	1.8036093693355533	-30.599532271465627	-28.048843440128103	0.6370519530426351	0.037705677694659136	0.6103900126555073	0.663713893429763	-2.3899585612784815	0.3129764641917274	-2.6112663414602406	-2.1686507810967224	-2.447829443709293	0.3220485867548059	-2.6755521832751605	-2.2201067041434257	0.05787088243081222	0.009072122563078513	0.05145592304670392	0.06428584181492052	-5.185386796839861	0.6302093628241145	-5.631012110860046	-4.739761482819676	-5.122465482439407	0.614115670258898	-5.556710837312395	-4.688220127566418	-0.06292131440045638	0.016093692565217126	-0.07430127354765294	-0.051541355253259834	-0.4185757420972973	0.06791294709888428	-0.4665974475212816	-0.37055403667331294	-0.4104483174040296	0.0656864097263477	-0.45689562315332805	-0.36400101165473114	-0.00812742469326765	0.0022265373725365734	-0.009701824367953539	-0.00655302501858176	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.7333333333333334	0.0942809041582064	0.6666666666666666	0.8	0.7	0.04714045207910316	0.6666666666666666	0.7333333333333333	0.4	0.09428090415820635	0.3333333333333333	0.4666666666666667	0.7	0.22473915486725415	0.2318169120649385	-0.007077757197684348
only	generated	5.0	none	2	0,1	15.0	16.666666666666668	-23.501749105914367	1.1356943288167796	-24.304806267175817	-22.698691944652918	-24.201722373357462	1.189493699076653	-25.042821434153232	-23.36062331256169	0.6999732674430914	0.05379937025987623	0.661931367908767	0.7380151669774158	-1.971382819181184	0.24506351709284316	-2.1446688939389587	-1.798096744423409	-2.037381126305264	0.25636217702845837	-2.218656560121833	-1.856105692488695	0.06599830712407986	0.011298659935615084	0.058008948065285684	0.07398766618287406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	5.0	random_mean	2	0,1	15.0	16.666666666666668	-31.89406953790853	2.1191521929079857	-33.39253642388011	-30.39560265193695	-32.59694575459201	2.0902869751636746	-34.075001849356156	-31.118889659827854	0.7028762166834764	0.02886521774431075	0.682465425476048	0.7232870078909048	-2.6146977161457357	0.33302333889332864	-2.850180777370594	-2.3792146549208772	-2.6796463557742323	0.3383524525147821	-2.918897669378534	-2.4403950421699303	0.06494863962849656	0.005329113621454072	0.061180387249052795	0.06871689200794034	-8.392320431994163	0.9834578640912093	-9.087730156704295	-7.69691070728403	-8.395223381234548	0.9007932760870255	-9.03218041520293	-7.758266347266167	0.002902949240385009	0.08266458800418712	-0.055549741501367836	0.061355639982137854	-0.6433148969645515	0.08795982180048541	-0.7055118834316351	-0.581117910497468	-0.6422652294689681	0.08199027548632451	-0.7002411092567014	-0.5842893496812349	-0.0010496674955833027	0.005969546314161023	-0.005270774174933722	0.0031714391837671164	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.4666666666666667	0.18856180831641267	0.3333333333333333	0.6												
only	gold	0.5	localized	2	0,1	15.0	1.0	-24.34735983212789	0.04824204706842197	-24.38147211074829	-24.313247553507487	-24.552174456914265	0.05063468432132665	-24.587978585561117	-24.516370328267417	0.20481462478637696	0.0023926372529048533	0.20312277475992838	0.20650647481282552	-1.8833624344025046	0.21491551781974713	-2.0353306544350662	-1.7313942143699432	-1.8966535969174954	0.21116571056586098	-2.0459703028126914	-1.7473368910222993	0.013291162514990577	0.0037498072538861087	0.010639648377625203	0.01594267665235595	-0.22517608801523842	0.05742775601607859	-0.26578364372253416	-0.1845685323079427	-0.20107378164927164	0.027401442004149467	-0.22044952710469565	-0.18169803619384767	-0.024102306365966792	0.03002631401192913	-0.04533411661783853	-0.0028704961140950556	-0.01085813333075345	0.009737043786052505	-0.01774326302058151	-0.0039730036409253875	-0.010414406238687722	0.01130181262037761	-0.018405994582256432	-0.0024228178951190096	-0.0004437270920657369	0.0015647688343250845	-0.0015501857458063734	0.0006627315616748996	0.7	0.04714045207910316	0.6666666666666666	0.7333333333333333	0.7	0.04714045207910316	0.6666666666666666	0.7333333333333333	0.045454545454545456	0.0642824346533225	0.0	0.09090909090909091	0.6333333333333333	0.04714045207910316	0.6	0.6666666666666666	0.4666666666666667	0.18856180831641267	0.3333333333333333	0.6	0.4	0.18856180831641267	0.26666666666666666	0.5333333333333333	0.5666666666666667	0.07071067811865474	0.5166666666666667	0.6166666666666667	0.4	0.015730800641857556	0.015389958267733003	0.0003408423741245465
