particle	target_type	mask_percent	ablation_condition	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	log_prob_with_mean	log_prob_with_mean_sd	log_prob_with_mean_ci_low	log_prob_with_mean_ci_high	log_prob_without_mean	log_prob_without_mean_sd	log_prob_without_mean_ci_low	log_prob_without_mean_ci_high	context_advantage_mean	context_advantage_mean_sd	context_advantage_mean_ci_low	context_advantage_mean_ci_high	log_prob_with_per_token_mean	log_prob_with_per_token_mean_sd	log_prob_with_per_token_mean_ci_low	log_prob_with_per_token_mean_ci_high	log_prob_without_per_token_mean	log_prob_without_per_token_mean_sd	log_prob_without_per_token_mean_ci_low	log_prob_without_per_token_mean_ci_high	context_advantage_per_token_mean	context_advantage_per_token_mean_sd	context_advantage_per_token_mean_ci_low	context_advantage_per_token_mean_ci_high	log_prob_with_change_from_none_mean	log_prob_with_change_from_none_mean_sd	log_prob_with_change_from_none_mean_ci_low	log_prob_with_change_from_none_mean_ci_high	log_prob_without_change_from_none_mean	log_prob_without_change_from_none_mean_sd	log_prob_without_change_from_none_mean_ci_low	log_prob_without_change_from_none_mean_ci_high	context_advantage_change_from_none_mean	context_advantage_change_from_none_mean_sd	context_advantage_change_from_none_mean_ci_low	context_advantage_change_from_none_mean_ci_high	log_prob_with_per_token_change_from_none_mean	log_prob_with_per_token_change_from_none_mean_sd	log_prob_with_per_token_change_from_none_mean_ci_low	log_prob_with_per_token_change_from_none_mean_ci_high	log_prob_without_per_token_change_from_none_mean	log_prob_without_per_token_change_from_none_mean_sd	log_prob_without_per_token_change_from_none_mean_ci_low	log_prob_without_per_token_change_from_none_mean_ci_high	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_mean_sd	context_advantage_per_token_change_from_none_mean_ci_low	context_advantage_per_token_change_from_none_mean_ci_high	baseline_positive_fraction	baseline_positive_fraction_sd	baseline_positive_fraction_ci_low	baseline_positive_fraction_ci_high	current_positive_fraction	current_positive_fraction_sd	current_positive_fraction_ci_low	current_positive_fraction_ci_high	positive_to_nonpositive_rate	positive_to_nonpositive_rate_sd	positive_to_nonpositive_rate_ci_low	positive_to_nonpositive_rate_ci_high	prompt_with_decrease_fraction	prompt_with_decrease_fraction_sd	prompt_with_decrease_fraction_ci_low	prompt_with_decrease_fraction_ci_high	context_advantage_decrease_fraction	context_advantage_decrease_fraction_sd	context_advantage_decrease_fraction_ci_low	context_advantage_decrease_fraction_ci_high	localized_stronger_drop_than_random_mean_fraction	localized_stronger_drop_than_random_mean_fraction_sd	localized_stronger_drop_than_random_mean_fraction_ci_low	localized_stronger_drop_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_drop_than_random_mean_fraction_items	log_prob_with_per_token_change_from_none_localized_minus_random_mean_mean	log_prob_without_per_token_change_from_none_localized_minus_random_mean_mean	context_advantage_per_token_change_from_none_localized_minus_random_mean_mean
only	generated	0.5	localized	2	0,1	15.0	50.0	-28.878541367530822	1.9314920460477134	-30.244312491099038	-27.512770243962603	-29.06187135910988	1.9672549710946052	-30.452930689493822	-27.67081202872594	0.18332999157905577	0.03576292504688643	0.15804178476333616	0.2086181983947754	-1.9733859448022861	0.11231901332775758	-2.052807480782526	-1.8939644088220466	-1.9872724356864286	0.11674289630676132	-2.0698221293202974	-1.9047227420525596	0.013886490884142299	0.004423882979003641	0.01075833323051308	0.01701464853777152	-0.4859479620456696	0.024083436974709094	-0.5029775236447652	-0.46891840044657396	-0.4829205300807953	0.025365934105248775	-0.5008569540977478	-0.4649841060638427	-0.003027431964874267	0.0012824971305396154	-0.003934294382731118	-0.0021205695470174163	-0.036447140947674025	0.00011646422628340156	-0.03652949359184466	-0.036364788303503384	-0.03560669180446076	0.0001767420145554067	-0.03573166728147346	-0.03548171632744806	-0.0008404491432132603	0.00029320624083880366	-0.0010477772643965944	-0.0006331210220299262	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.9	0.04714045207910316	0.8666666666666667	0.9333333333333333	0.07179487179487179	0.007252377242938953	0.06666666666666667	0.07692307692307693	1.0	0.0	1.0	1.0	0.43333333333333335	0.14142135623730953	0.3333333333333333	0.5333333333333333	0.5666666666666667	0.04714045207910316	0.5333333333333333	0.6	0.4666666666666667	0.04714045207910316	0.43333333333333335	0.5	0.5666666666666667	0.013415747297125713	0.014058170270005695	-0.0006424229728799803
only	generated	0.5	none	2	0,1	15.0	50.0	-28.39259340548515	1.955575483022427	-29.77539409065247	-27.009792720317837	-28.578950829029083	1.9926209051998458	-29.98794658342997	-27.169955074628195	0.18635742354393003	0.03704542217742599	0.1601623543103536	0.21255249277750649	-1.9369388038546123	0.1124354775540412	-2.0164426924790226	-1.8574349152302019	-1.9516657438819678	0.11656615429220586	-2.034090462038824	-1.8692410257251117	0.01472694002735556	0.004130676738164837	0.011806110494909674	0.017647769559801445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	0.5	random_mean	2	0,1	15.0	50.0	-29.122575765510398	2.208725696579317	-30.684380683342614	-27.56077084767818	-29.312154394110046	2.239405779158837	-30.8956534063816	-27.728655381838486	0.1895786285996437	0.030680082579528156	0.16788453416029608	0.21127272303899133	-1.9868016920994123	0.13070598063937255	-2.07922477735115	-1.8943786068476742	-2.001330605956434	0.1348196044066911	-2.0966624624692933	-1.9059987494435753	0.014528913857022275	0.004113623767318492	0.011620142595901217	0.017437685118143333	-0.729982360025247	0.25315021355689493	-0.90898659269015	-0.5509781273603439	-0.7332035650809606	0.24678487395899704	-0.9077068229516349	-0.5587003072102864	0.003221205055713654	0.006365339597897921	-0.0012797697385152178	0.007722179849942526	-0.04986288824479973	0.018270503085331187	-0.06278208487212715	-0.03694369161747231	-0.04966486207446645	0.018253450114484846	-0.06257200043046905	-0.03675772371846386	-0.0001980261703332801	1.7052970846345274e-05	-0.00021008444165810736	-0.00018596789900845288	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.8666666666666667	0.09428090415820632	0.8	0.9333333333333333	0.07179487179487179	0.007252377242938953	0.06666666666666667	0.07692307692307693	1.0	0.0	1.0	1.0	0.4666666666666667	0.09428090415820632	0.4	0.5333333333333333												
only	generated	1.0	localized	2	0,1	15.0	50.0	-29.277770080010097	1.725745781524899	-30.49805662473043	-28.057483535289762	-29.454109338760375	1.7401967531825138	-30.684614263534545	-28.22360441398621	0.17633925875027975	0.014450971657620519	0.16612087869644168	0.18655763880411783	-2.0027513661382335	0.09222989000694813	-2.0679677467902358	-1.937534985486231	-2.0156172413639344	0.09553472828514468	-2.0831704955731745	-1.9480639871546943	0.012865875225701495	0.003304838278196956	0.010529001668463553	0.015202748782939436	-0.885176674524943	0.22982970149752616	-1.0476908149719237	-0.7226625340779622	-0.8751585097312926	0.2524241520173316	-1.0536493393580117	-0.6966676801045736	-0.01001816479365031	0.02259445051980547	-0.025994853973388674	0.005958524386088053	-0.06581256228362073	0.0202055875470933	-0.08010007025602886	-0.0515250543112126	-0.06395149748196667	0.021031426007061177	-0.07882296142958274	-0.049080033534350594	-0.0018610648016540634	0.0008258384599678832	-0.0024450207768620088	-0.001277108826446118	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.8666666666666667	0.09428090415820632	0.8	0.9333333333333333	0.07179487179487179	0.007252377242938953	0.06666666666666667	0.07692307692307693	1.0	0.0	1.0	1.0	0.5333333333333333	0.18856180831641264	0.4	0.6666666666666666	0.3666666666666667	0.14142135623730953	0.26666666666666666	0.4666666666666667	0.5166666666666667	0.09428090415820635	0.45	0.5833333333333334	0.36666666666666664	0.003099359447587601	0.004667292677075761	-0.0015679332294881586
only	generated	1.0	none	2	0,1	15.0	50.0	-28.39259340548515	1.955575483022427	-29.77539409065247	-27.009792720317837	-28.578950829029083	1.9926209051998458	-29.98794658342997	-27.169955074628195	0.18635742354393003	0.03704542217742599	0.1601623543103536	0.21255249277750649	-1.9369388038546123	0.1124354775540412	-2.0164426924790226	-1.8574349152302019	-1.9516657438819678	0.11656615429220586	-2.034090462038824	-1.8692410257251117	0.01472694002735556	0.004130676738164837	0.011806110494909674	0.017647769559801445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	1.0	random_mean	2	0,1	15.0	50.0	-29.494064671496552	1.7966591917449586	-30.764494569460552	-28.22363477353255	-29.67949022052686	1.8235819694055644	-30.96895739714305	-28.390023043910663	0.18542554903030395	0.026922777660604524	0.1663882703781128	0.2044628276824951	-2.0058507255858204	0.10173579097762392	-2.0777887932754755	-1.9339126578961654	-2.0202845340410107	0.10468634393005766	-2.0943089577315814	-1.9462601103504396	0.014433808455189654	0.0029505529524334285	0.012347452454273988	0.01652016445610532	-1.101471266011397	0.1589162912774648	-1.213842053214709	-0.989100478808085	-1.100539391497771	0.16903893579428617	-1.220067969282468	-0.9810108137130737	-0.0009318745136260983	0.010122644516821483	-0.008089665095011392	0.0062259160677591956	-0.06891192173120832	0.010699686576417221	-0.0764777426659636	-0.06134610079645302	-0.06861879015904243	0.011879810362148652	-0.07701908462532796	-0.060218495692756904	-0.00029313157216590474	0.001180123785731408	-0.0011276051036961236	0.0005413419593643141	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.9	0.04714045207910316	0.8666666666666667	0.9333333333333333	0.03333333333333333	0.04714045207910317	0.0	0.06666666666666667	1.0	0.0	1.0	1.0	0.6333333333333333	0.14142135623730948	0.5333333333333333	0.7333333333333333												
only	generated	5.0	localized	2	0,1	15.0	50.0	-34.790596055030825	2.2394954245503027	-36.37415845616659	-33.20703365389506	-34.95087221495311	2.2352629476599932	-36.53144180297852	-33.370302626927696	0.1602761599222819	0.004232476890307239	0.1572833468119303	0.1632689730326335	-2.3663752017107678	0.13302487976225688	-2.460437996257185	-2.272312407164351	-2.3776447447374287	0.1329990457997397	-2.471689271913765	-2.2836002175610925	0.011269543026660375	2.5833962517093258e-05	0.01125127565657962	0.011287810396741132	-6.39800264954567	0.2839199415278769	-6.5987643655141195	-6.19724093357722	-6.371921385924022	0.24264204246014437	-6.543495219548544	-6.200347552299499	-0.026081263621648157	0.041277899067733215	-0.05526914596557618	0.0031066187222798672	-0.42943639785615584	0.020589402208215694	-0.44399530377816243	-0.41487749193414925	-0.42597900085546064	0.016432891507533767	-0.4375988098749406	-0.4143591918359807	-0.003457397000695182	0.004156510700681935	-0.006396493903221826	-0.0005183000981685378	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.8333333333333333	0.14142135623730953	0.7333333333333333	0.9333333333333333	0.11025641025641025	0.06164520656498108	0.06666666666666667	0.15384615384615385	1.0	0.0	1.0	1.0	0.6	0.0	0.6	0.6	0.4666666666666667	0.282842712474619	0.26666666666666666	0.6666666666666666	0.475	0.22391714737574003	0.31666666666666665	0.6333333333333333	0.4666666666666667	0.15091863080044235	0.15242659696296118	-0.0015079661625188236
only	generated	5.0	none	2	0,1	15.0	50.0	-28.39259340548515	1.955575483022427	-29.77539409065247	-27.009792720317837	-28.578950829029083	1.9926209051998458	-29.98794658342997	-27.169955074628195	0.18635742354393003	0.03704542217742599	0.1601623543103536	0.21255249277750649	-1.9369388038546123	0.1124354775540412	-2.0164426924790226	-1.8574349152302019	-1.9516657438819678	0.11656615429220586	-2.034090462038824	-1.8692410257251117	0.01472694002735556	0.004130676738164837	0.011806110494909674	0.017647769559801445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	5.0	random_mean	2	0,1	15.0	50.0	-37.650504130264125	1.0479254348821363	-38.39149931144714	-36.9095089490811	-37.83785495938857	1.1272778511193307	-38.63496077219645	-37.040749146580694	0.18735082912445067	0.07935241623719426	0.1312401974995931	0.24346146074930822	-2.5172938325112106	0.07895796633736654	-2.5731255459370614	-2.4614621190853594	-2.5300713417003893	0.08663533913070434	-2.591331777490107	-2.468810905910672	0.012777509189179201	0.007677372793337286	0.0073487868253133	0.018206231553045103	-9.257910724778968	0.9076500481402856	-9.89971622876326	-8.616105220794676	-9.258904130359491	0.8653430540805175	-9.870794071952503	-8.64701418876648	0.0009934055805206378	0.04230699405976826	-0.028922156810760484	0.03090896797180176	-0.5803550286565982	0.033477511216674416	-0.6040272038551574	-0.556682853458039	-0.5784055978184218	0.02993081516150199	-0.599569880185561	-0.5572413154512826	-0.0019494308381763578	0.0035466960551724467	-0.004457323669596372	0.0005584619932436566	0.9333333333333333	0.09428090415820632	0.8666666666666667	1.0	0.7333333333333334	0.28284271247461906	0.5333333333333333	0.9333333333333333	0.22564102564102564	0.2248236945311074	0.06666666666666667	0.38461538461538464	1.0	0.0	1.0	1.0	0.6333333333333333	0.04714045207910316	0.6	0.6666666666666666												
only	gold	0.5	localized	2	0,1	15.0	1.0	-24.367448298136395	4.1360889584199025	-27.29210484822591	-21.442791748046876	-24.632913422584533	4.291267461860073	-27.667297744750975	-21.59852910041809	0.26546512444814047	0.15517850344017062	0.15573735237121583	0.3751928965250651	-1.9001534698431204	0.04359389404825142	-1.930979007942967	-1.869327931743274	-1.9158377767594388	0.03757336790754175	-1.9424061599988784	-1.889269393519999	0.015684306916318492	0.0060205261407095725	0.011427152055911879	0.019941461776725105	-0.24526455402374267	0.1749239535535768	-0.3689544677734375	-0.12157464027404785	-0.28181274731953937	0.18794686893789933	-0.4147112528483073	-0.14891424179077148	0.03654819329579671	0.013022915384322535	0.027339601516723634	0.04575678507486979	-0.027649168771369255	0.01292184803362783	-0.03678629514140955	-0.018512042401328963	-0.029598586080631428	0.011168604066848126	-0.03749598175268739	-0.021701190408575464	0.001949417309262169	0.0017532439667797047	0.0007096866112778378	0.0031891480072465004	0.7	0.04714045207910316	0.6666666666666666	0.7333333333333333	0.7333333333333334	0.0942809041582064	0.6666666666666666	0.8	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	0.4	0.0	0.4	0.4	0.3333333333333333	0.0	0.3333333333333333	0.3333333333333333	0.6083333333333334	0.011785113019775828	0.6	0.6166666666666667	0.3333333333333333	0.00813471443377318	0.00723084839310772	0.0009038660406654593
