particle	target_type	mask_percent	ablation_condition	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	log_prob_with_mean	log_prob_with_mean_sd	log_prob_with_mean_ci_low	log_prob_with_mean_ci_high	log_prob_without_mean	log_prob_without_mean_sd	log_prob_without_mean_ci_low	log_prob_without_mean_ci_high	context_advantage_mean	context_advantage_mean_sd	context_advantage_mean_ci_low	context_advantage_mean_ci_high	log_prob_with_per_token_mean	log_prob_with_per_token_mean_sd	log_prob_with_per_token_mean_ci_low	log_prob_with_per_token_mean_ci_high	log_prob_without_per_token_mean	log_prob_without_per_token_mean_sd	log_prob_without_per_token_mean_ci_low	log_prob_without_per_token_mean_ci_high	context_advantage_per_token_mean	context_advantage_per_token_mean_sd	context_advantage_per_token_mean_ci_low	context_advantage_per_token_mean_ci_high	log_prob_with_change_from_none_mean	log_prob_with_change_from_none_mean_sd	log_prob_with_change_from_none_mean_ci_low	log_prob_with_change_from_none_mean_ci_high	log_prob_without_change_from_none_mean	log_prob_without_change_from_none_mean_sd	log_prob_without_change_from_none_mean_ci_low	log_prob_without_change_from_none_mean_ci_high	context_advantage_change_from_none_mean	context_advantage_change_from_none_mean_sd	context_advantage_change_from_none_mean_ci_low	context_advantage_change_from_none_mean_ci_high	log_prob_with_per_token_change_from_none_mean	log_prob_with_per_token_change_from_none_mean_sd	log_prob_with_per_token_change_from_none_mean_ci_low	log_prob_with_per_token_change_from_none_mean_ci_high	log_prob_without_per_token_change_from_none_mean	log_prob_without_per_token_change_from_none_mean_sd	log_prob_without_per_token_change_from_none_mean_ci_low	log_prob_without_per_token_change_from_none_mean_ci_high	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_mean_sd	context_advantage_per_token_change_from_none_mean_ci_low	context_advantage_per_token_change_from_none_mean_ci_high	baseline_positive_fraction	baseline_positive_fraction_sd	baseline_positive_fraction_ci_low	baseline_positive_fraction_ci_high	current_positive_fraction	current_positive_fraction_sd	current_positive_fraction_ci_low	current_positive_fraction_ci_high	positive_to_nonpositive_rate	positive_to_nonpositive_rate_sd	positive_to_nonpositive_rate_ci_low	positive_to_nonpositive_rate_ci_high	prompt_with_decrease_fraction	prompt_with_decrease_fraction_sd	prompt_with_decrease_fraction_ci_low	prompt_with_decrease_fraction_ci_high	context_advantage_decrease_fraction	context_advantage_decrease_fraction_sd	context_advantage_decrease_fraction_ci_low	context_advantage_decrease_fraction_ci_high	localized_stronger_drop_than_random_mean_fraction	localized_stronger_drop_than_random_mean_fraction_sd	localized_stronger_drop_than_random_mean_fraction_ci_low	localized_stronger_drop_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_drop_than_random_mean_fraction_items	log_prob_with_per_token_change_from_none_localized_minus_random_mean_mean	log_prob_without_per_token_change_from_none_localized_minus_random_mean_mean	context_advantage_per_token_change_from_none_localized_minus_random_mean_mean
not	generated	0.5	localized	2	0,1	14.0	17.857142857142858	-25.97858890229297	0.27452149260242714	-26.1727049112936	-25.784472893292342	-27.881045679350482	0.2765711689326465	-28.076611028383446	-27.685480330317517	1.902456777057509	0.0020496763302311196	1.901007437025165	1.903906117089853	-2.2336819165872974	0.18526168604688917	-2.364681711085106	-2.102682122089489	-2.399592245422947	0.20458499679040834	-2.5442556839824726	-2.254928806863421	0.16591032883564924	0.019323310743518386	0.15224668477393252	0.17957397289736596	-0.5875995116159882	0.10474090508666532	-0.6616625158703858	-0.5135365073615906	-0.5520144078772989	0.07768683512930748	-0.6069472958061536	-0.49708151994844435	-0.03558510373868923	0.02705406995735774	-0.054715220064232135	-0.016454987413146317	-0.04547040534887811	0.009924795343097455	-0.05248829543787099	-0.03845251525988523	-0.04182236566509187	0.0071321683904453405	-0.04686557029854012	-0.03677916103164363	-0.0036480396837862343	0.002792626952652109	-0.005622725139330864	-0.0016733542282416046	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.9642857142857143	0.05050762722761051	0.9285714285714286	1.0	0.6428571428571428	0.20203050891044214	0.5	0.7857142857142857	0.5714285714285714	0.0	0.5714285714285714	0.5714285714285714	0.44642857142857145	0.10101525445522111	0.375	0.5178571428571429	0.5714285714285714	-0.005848897993088796	-0.005053092337895179	-0.0007958056551936163
not	generated	0.5	none	2	0,1	14.0	17.857142857142858	-25.390989390676985	0.37926239768908854	-25.659168403932007	-25.12281037742196	-27.329031271473184	0.35425800406195934	-27.579529508435005	-27.07853303451136	1.9380418807961983	0.02500439362712653	1.9203611045029996	1.9557226570893973	-2.1882115112384195	0.17533689070379216	-2.3121934156472355	-2.0642296068296035	-2.3577698797578543	0.19745282839996256	-2.497390113683932	-2.2181496458317773	0.1695583685194354	0.022115937696170478	0.15392003900217407	0.18519669803669675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	0.5	random_mean	2	0,1	14.0	17.857142857142858	-25.899729334874962	0.40429703136384537	-26.185610507365926	-25.613848162383995	-27.80774475439635	0.39782012328508504	-28.0890460612637	-27.526443447528997	1.90801541952139	0.006476908078756535	1.9034355538977794	1.9125952851450008	-2.2278330185942083	0.17708201503445567	-2.3530489122512503	-2.102617124937167	-2.3945391530850517	0.1990686092313856	-2.5353019165939394	-2.253776389576164	0.16670613449084282	0.021986594196930144	0.15115926463899673	0.18225300434268893	-0.5087399441979732	0.025034633674759613	-0.5264421034339168	-0.4910377849620296	-0.47871348292316473	0.043562119223129296	-0.5095165528286963	-0.4479104130176332	-0.030026461274808375	0.018527485548369645	-0.04312737194439631	-0.016925550605220437	-0.039621507355789315	0.001745124330663333	-0.040855496604014996	-0.03838751810756364	-0.03676927332719669	0.0016157808314229472	-0.0379118029100071	-0.03562674374438629	-0.002852234028592619	0.00012934349924038018	-0.0029436936940078887	-0.002760774363177349	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.6428571428571429	0.0	0.6428571428571429	0.6428571428571429												
not	generated	1.0	localized	2	0,1	14.0	17.857142857142858	-26.632317368037207	0.19437219503863315	-26.76975926522314	-26.494875470851277	-28.489705414451656	0.223861643990681	-28.647999500965035	-28.331411327938277	1.8573880464144503	0.029489448952052445	1.8365358570869994	1.878240235741901	-2.288220012161946	0.1972164043659527	-2.427673069050339	-2.1487669552735524	-2.4495061750296188	0.2129651611234271	-2.6000952846164798	-2.2989170654427578	0.16128616286767294	0.01574875675747465	0.15015011016920515	0.17242221556614074	-1.2413279773602244	0.18489020265045525	-1.3720650934293164	-1.1105908612911326	-1.1606741429784764	0.1303963600712761	-1.2528782934269185	-1.0684699925300343	-0.08065383438174817	0.054493842579179	-0.11918680000239787	-0.04212086876109848	-0.10000850092352645	0.02187951366216047	-0.11547965340310383	-0.08453734844394907	-0.09173629527176397	0.015512332723464651	-0.1027051709325478	-0.08076741961098012	-0.008272205651762475	0.00636718093869583	-0.012774482470556023	-0.0037699288329689257	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.75	0.15152288168283154	0.6428571428571429	0.8571428571428571	0.75	0.05050762722761051	0.7142857142857143	0.7857142857142857	0.39285714285714285	0.0	0.39285714285714285	0.39285714285714285	0.75	-0.029602602839886343	-0.026300394343525706	-0.003302208496360637
not	generated	1.0	none	2	0,1	14.0	17.857142857142858	-25.390989390676985	0.37926239768908854	-25.659168403932007	-25.12281037742196	-27.329031271473184	0.35425800406195934	-27.579529508435005	-27.07853303451136	1.9380418807961983	0.02500439362712653	1.9203611045029996	1.9557226570893973	-2.1882115112384195	0.17533689070379216	-2.3121934156472355	-2.0642296068296035	-2.3577698797578543	0.19745282839996256	-2.497390113683932	-2.2181496458317773	0.1695583685194354	0.022115937696170478	0.15392003900217407	0.18519669803669675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	1.0	random_mean	2	0,1	14.0	17.857142857142858	-26.28461583477945	0.6572777639095564	-26.749381398763028	-25.81985027079587	-28.17558414822058	0.6806508282810774	-28.656876964518368	-27.694291331922788	1.8909683134411304	0.023373064371524865	1.8744410611269156	1.9074955657553454	-2.2586174093220595	0.15188441122088597	-2.366015906452874	-2.151218912191245	-2.4232057806860934	0.1709124319943798	-2.544059120338404	-2.302352441033783	0.1645883713640336	0.01902802077349365	0.15113352884253775	0.17804321388552946	-0.8936264441024637	0.2780153662204682	-1.0902129948310182	-0.6970398933739093	-0.8465528767473958	0.32639282421911936	-1.0773474560833638	-0.6157582974114276	-0.04707356735506795	0.04837745799865125	-0.08128159596248163	-0.012865538747654268	-0.0704058980836401	0.023452479482906	-0.08698930536164132	-0.053822490805638896	-0.06543590092823827	0.02654039640558287	-0.08420279520200499	-0.04666900665447155	-0.004969997155401838	0.003087916922676869	-0.0071534841511673485	-0.0027865101596363283	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.7857142857142858	0.20203050891044214	0.6428571428571429	0.9285714285714286												
not	generated	5.0	localized	2	0,1	14.0	17.857142857142858	-30.92751984494041	0.4499216928774453	-31.245662524976982	-30.609377164903837	-32.55804332234497	0.35117322834768216	-32.80636029348079	-32.30972635120916	1.6305234774045658	0.09874846452975736	1.5606977685038153	1.7003491863053166	-2.6271849230318285	0.2671722182544658	-2.8161042103042138	-2.4382656357594437	-2.7670643884045623	0.2772132153980686	-2.9630837328470636	-2.571045043962061	0.13987946537273338	0.010040997143603127	0.13277940820261686	0.1469795225428499	-5.536530454263424	0.8291840905665269	-6.122852147555016	-4.950208760971833	-5.229012050871793	0.7054312324096433	-5.727827258969435	-4.73019684277415	-0.3075184033916322	0.12375285815688356	-0.39502488858558155	-0.22001191819768293	-0.438973411793409	0.09183532755067374	-0.5039107946569782	-0.37403602892983984	-0.4092945086467069	0.07976038699810636	-0.4656936191631313	-0.3528953981302826	-0.029678903146702046	0.012074940552567382	-0.03821717549384688	-0.021140630799557213	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.9285714285714286	0.0	0.9285714285714286	0.9285714285714286	0.6071428571428572	0.05050762722761059	0.5714285714285714	0.6428571428571429	0.4107142857142857	0.025253813613805257	0.39285714285714285	0.42857142857142855	0.6071428571428571	0.19316715869204087	0.2015827708642378	-0.008415612172196952
not	generated	5.0	none	2	0,1	14.0	17.857142857142858	-25.390989390676985	0.37926239768908854	-25.659168403932007	-25.12281037742196	-27.329031271473184	0.35425800406195934	-27.579529508435005	-27.07853303451136	1.9380418807961983	0.02500439362712653	1.9203611045029996	1.9557226570893973	-2.1882115112384195	0.17533689070379216	-2.3121934156472355	-2.0642296068296035	-2.3577698797578543	0.19745282839996256	-2.497390113683932	-2.2181496458317773	0.1695583685194354	0.022115937696170478	0.15392003900217407	0.18519669803669675	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
not	generated	5.0	random_mean	2	0,1	14.0	17.857142857142858	-33.2453659573128	0.4970492871080543	-33.596832878810844	-32.893899035814755	-34.97194025725574	0.5897358915798071	-35.388946505300915	-34.55493400921056	1.726574299942935	0.09268660447175878	1.661034973395799	1.792113626490071	-2.820352081723869	0.20671259171182058	-2.9665199570799436	-2.6741842063677947	-2.9686471592687997	0.21872555667745228	-3.1233094836142286	-2.8139848349233705	0.14829507754493032	0.012012964965631158	0.13980062855557612	0.15678952653428455	-7.854376566635816	0.1177868894189695	-7.937664474878839	-7.7710886583927925	-7.642908985782553	0.23547788751785467	-7.809416996865911	-7.476400974699195	-0.2114675808532634	0.11769099809888534	-0.29468768369359827	-0.1282474780129285	-0.6321405704854498	0.031375701008028736	-0.6543265414327085	-0.6099545995381911	-0.6108772795109447	0.021272728277489533	-0.6259193699302964	-0.595835189091593	-0.021263290974505102	0.010102972730539318	-0.028407171502412225	-0.01411941044659798	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.75	0.25253813613805276	0.5714285714285714	0.9285714285714286												
not	gold	0.5	localized	2	0,1	14.0	1.0	-29.35695305892399	3.975989016449739	-32.168401854378835	-26.54550426346915	-30.244947416441782	3.5950969160244357	-32.7870648247855	-27.702830008098058	0.8879943575177873	0.3808921004253025	0.6186629704066685	1.1573257446289062	-2.1535795883763065	0.0016189536172566319	-2.154724361457495	-2.1524348152951176	-2.2357426180507987	0.014351331385998287	-2.2458905417928934	-2.225594694308704	0.0821630296744923	0.015970285003255244	0.0708703328512087	0.0934557264977759	-0.7813147561890739	0.05380467885096403	-0.8193604094641549	-0.7432691029139927	-0.7533172454152788	0.027966565413317226	-0.7730925934655326	-0.7335418973650251	-0.02799751077379499	0.02583811343764687	-0.04626781599862235	-0.009727205548967634	-0.056283132835022405	0.0027612002610612786	-0.0582355962638329	-0.05433066940621191	-0.05563846556863306	0.003978794204074512	-0.05845189793127988	-0.05282503320598624	-0.0006446672663893427	0.0012175939430132381	-0.0015056362002256701	0.00021630166744698469	0.7857142857142858	0.20203050891044214	0.6428571428571429	0.9285714285714286	0.8214285714285714	0.25253813613805265	0.6428571428571429	1.0	0.0	0.0	0.0	0.0	0.75	0.05050762722761051	0.7142857142857143	0.7857142857142857	0.5357142857142857	0.15152288168283165	0.42857142857142855	0.6428571428571429	0.5714285714285714	0.3030457633656632	0.35714285714285715	0.7857142857142857	0.48214285714285715	0.20203050891044214	0.3392857142857143	0.625	0.5714285714285714	-0.02957606718835611	-0.029855724682738307	0.0002796574943822005
