particle	target_type	mask_percent	ablation_condition	n_folds	train_folds	mean_items_per_fold	mean_member_targets_per_item	log_prob_with_mean	log_prob_with_mean_sd	log_prob_with_mean_ci_low	log_prob_with_mean_ci_high	log_prob_without_mean	log_prob_without_mean_sd	log_prob_without_mean_ci_low	log_prob_without_mean_ci_high	context_advantage_mean	context_advantage_mean_sd	context_advantage_mean_ci_low	context_advantage_mean_ci_high	log_prob_with_per_token_mean	log_prob_with_per_token_mean_sd	log_prob_with_per_token_mean_ci_low	log_prob_with_per_token_mean_ci_high	log_prob_without_per_token_mean	log_prob_without_per_token_mean_sd	log_prob_without_per_token_mean_ci_low	log_prob_without_per_token_mean_ci_high	context_advantage_per_token_mean	context_advantage_per_token_mean_sd	context_advantage_per_token_mean_ci_low	context_advantage_per_token_mean_ci_high	log_prob_with_change_from_none_mean	log_prob_with_change_from_none_mean_sd	log_prob_with_change_from_none_mean_ci_low	log_prob_with_change_from_none_mean_ci_high	log_prob_without_change_from_none_mean	log_prob_without_change_from_none_mean_sd	log_prob_without_change_from_none_mean_ci_low	log_prob_without_change_from_none_mean_ci_high	context_advantage_change_from_none_mean	context_advantage_change_from_none_mean_sd	context_advantage_change_from_none_mean_ci_low	context_advantage_change_from_none_mean_ci_high	log_prob_with_per_token_change_from_none_mean	log_prob_with_per_token_change_from_none_mean_sd	log_prob_with_per_token_change_from_none_mean_ci_low	log_prob_with_per_token_change_from_none_mean_ci_high	log_prob_without_per_token_change_from_none_mean	log_prob_without_per_token_change_from_none_mean_sd	log_prob_without_per_token_change_from_none_mean_ci_low	log_prob_without_per_token_change_from_none_mean_ci_high	context_advantage_per_token_change_from_none_mean	context_advantage_per_token_change_from_none_mean_sd	context_advantage_per_token_change_from_none_mean_ci_low	context_advantage_per_token_change_from_none_mean_ci_high	baseline_positive_fraction	baseline_positive_fraction_sd	baseline_positive_fraction_ci_low	baseline_positive_fraction_ci_high	current_positive_fraction	current_positive_fraction_sd	current_positive_fraction_ci_low	current_positive_fraction_ci_high	positive_to_nonpositive_rate	positive_to_nonpositive_rate_sd	positive_to_nonpositive_rate_ci_low	positive_to_nonpositive_rate_ci_high	prompt_with_decrease_fraction	prompt_with_decrease_fraction_sd	prompt_with_decrease_fraction_ci_low	prompt_with_decrease_fraction_ci_high	context_advantage_decrease_fraction	context_advantage_decrease_fraction_sd	context_advantage_decrease_fraction_ci_low	context_advantage_decrease_fraction_ci_high	localized_stronger_drop_than_random_mean_fraction	localized_stronger_drop_than_random_mean_fraction_sd	localized_stronger_drop_than_random_mean_fraction_ci_low	localized_stronger_drop_than_random_mean_fraction_ci_high	localized_random_cdf_mean	localized_random_cdf_mean_sd	localized_random_cdf_mean_ci_low	localized_random_cdf_mean_ci_high	localized_stronger_drop_than_random_mean_fraction_items	log_prob_with_per_token_change_from_none_localized_minus_random_mean_mean	log_prob_without_per_token_change_from_none_localized_minus_random_mean_mean	context_advantage_per_token_change_from_none_localized_minus_random_mean_mean
only	generated	0.5	localized	2	0,1	15.0	16.666666666666668	-23.75341091343066	1.1611261148339937	-24.574451063042567	-22.932370763818753	-24.44220770832988	1.204174140957693	-25.293687409130552	-23.59072800752921	0.6887967948992162	0.04304802612370037	0.658357243710452	0.7192363460879804	-1.9951686601849747	0.24441764264313617	-2.1679980327395665	-1.8223392876303828	-2.0591520946025375	0.2544741729037766	-2.239092507899636	-1.8792116813054391	0.06398343441756295	0.01005653026063983	0.0568723936750568	0.07109447516006909	-0.2516618075162972	0.025431786017212587	-0.26964479586675344	-0.23367881916584096	-0.24048533497242203	0.014680441881036514	-0.25086597497731794	-0.2301046949675261	-0.011176472543875169	0.010751344136176056	-0.018778820889435482	-0.003574124198314856	-0.02378584100379093	0.0006458744497066124	-0.024242543206973607	-0.023329138800608256	-0.02177096829727397	0.0018880041246818805	-0.0231059888167447	-0.02043594777780324	-0.0020148727065169595	0.0012421296749752658	-0.0028931910228050125	-0.001136554390228907	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.6	0.09428090415820632	0.5333333333333333	0.6666666666666666	0.5333333333333333	0.18856180831641264	0.4	0.6666666666666666	0.4	0.07071067811865477	0.35	0.45	0.5333333333333333	0.008718244245866518	0.010465473565228934	-0.00174722931936242
only	generated	0.5	none	2	0,1	15.0	16.666666666666668	-23.501749105914367	1.1356943288167796	-24.304806267175817	-22.698691944652918	-24.201722373357462	1.189493699076653	-25.042821434153232	-23.36062331256169	0.6999732674430914	0.05379937025987623	0.661931367908767	0.7380151669774158	-1.9713828191811837	0.24506351709284332	-2.1446688939389587	-1.7980967444234088	-2.037381126305264	0.25636217702845837	-2.218656560121833	-1.856105692488695	0.0659983071240799	0.011298659935615093	0.05800894806528571	0.0739876661828741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	0.5	random_mean	2	0,1	15.0	16.666666666666668	-23.911213263165823	1.1140407288554082	-24.698959017057486	-23.12346750927416	-24.61109210338156	1.1530297649119818	-25.426407269060753	-23.795776937702367	0.6998788402157352	0.03898903605657655	0.6723094284282032	0.7274482520032673	-2.0038869044308414	0.24296402205625128	-2.1756884120111746	-1.8320853968505082	-2.0696175681677667	0.2533282180073574	-2.248747668986673	-1.89048746734886	0.06573066373692536	0.010364195951105777	0.05840207049835231	0.07305925697549842	-0.4094641572514589	0.021653599961372495	-0.42477556462124616	-0.39415274988167165	-0.40936973002410276	0.036463934164672335	-0.4351536251406824	-0.3835858349075231	-9.442722735610292e-05	0.0148103342032998	-0.010566914974148457	0.01037806051943625	-0.03250408524965745	0.002099495036591793	-0.033988652427099	-0.031019518072215892	-0.03223644186250291	0.003033959021101089	-0.03438177486016559	-0.03009110886484023	-0.00026764338715454017	0.0009344639845093015	-0.0009284092073756681	0.0003931224330665878	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.5666666666666667	0.04714045207910316	0.5333333333333333	0.6												
only	generated	1.0	localized	2	0,1	15.0	16.666666666666668	-23.98118344356621	1.1659841840653953	-24.805658766875112	-23.156708120257303	-24.672915391880508	1.2275016810669992	-25.54089015448087	-23.804940629280146	0.6917319483143036	0.061517497001599655	0.6482325090228493	0.7352313876057578	-2.01518102775352	0.24518427791635977	-2.188552493308505	-1.841809562198535	-2.079362874920773	0.2575157939965483	-2.26145403911837	-1.8972717107231754	0.06418184716725278	0.012331516080188147	0.055462148524640785	0.07290154580986477	-0.4794343376518374	0.030289855248618037	-0.5008524996992941	-0.4580161756043806	-0.47119301852304973	0.038007981990341506	-0.4980687203276364	-0.4443173167184631	-0.0082413191287877	0.007718126741723438	-0.013698858885917575	-0.002783779371657823	-0.04379820857233607	0.00012076082351674862	-0.04388359936954644	-0.04371281777512571	-0.04198174861550893	0.0011536169680898076	-0.042797478996537096	-0.04116601823448076	-0.0018164599568271413	0.0010328561445730514	-0.002546799540644939	-0.0010861203730093436	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.9666666666666667	0.04714045207910316	0.9333333333333333	1.0	0.6666666666666666	0.09428090415820632	0.6	0.7333333333333333	0.33333333333333337	0.09428090415820635	0.26666666666666666	0.4	0.5666666666666667	0.02357022603955158	0.55	0.5833333333333334	0.3333333333333333	0.04677453995197445	0.04519577700727755	0.0015787629446968954
only	generated	1.0	none	2	0,1	15.0	16.666666666666668	-23.501749105914367	1.1356943288167796	-24.304806267175817	-22.698691944652918	-24.201722373357462	1.189493699076653	-25.042821434153232	-23.36062331256169	0.6999732674430914	0.05379937025987623	0.661931367908767	0.7380151669774158	-1.9713828191811837	0.24506351709284332	-2.1446688939389587	-1.7980967444234088	-2.037381126305264	0.25636217702845837	-2.218656560121833	-1.856105692488695	0.0659983071240799	0.011298659935615093	0.05800894806528571	0.0739876661828741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	1.0	random_mean	2	0,1	15.0	16.666666666666668	-24.591791268537392	1.2106597212530141	-25.447856967144812	-23.73572556992997	-25.261945354392296	1.2684295997027129	-26.15886052579982	-24.365030182984768	0.6701540858549003	0.05776987844969084	0.6293046130548013	0.7110035586549993	-2.0619555677054944	0.25541361571591664	-2.2425602673855938	-1.8813508680253945	-2.12455865192805	0.26747823806362664	-2.3136943278826703	-1.93542297597343	0.06260308422255587	0.012064622347709572	0.054072107948035665	0.07113406049707607	-1.090042162623025	0.07496539243624042	-1.1430506999690013	-1.0370336252770487	-1.060222981034834	0.07893590062605473	-1.1160390916465848	-1.0044068704230833	-0.02981918158819106	0.003970508189814501	-0.032626754853965614	-0.0270116083224165	-0.09057274852431053	0.010350098623073877	-0.09789137344663562	-0.08325412360198545	-0.08717752562278647	0.01111606103516839	-0.0950377677608376	-0.07931728348473535	-0.0033952229015240367	0.0007659624120944941	-0.003936840117250058	-0.002853605685798015	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.7333333333333334	0.0942809041582064	0.6666666666666666	0.8												
only	generated	5.0	localized	2	0,1	15.0	16.666666666666668	-26.703602911391247	1.5103188110629646	-27.771559584447473	-25.63564623833502	-27.282379912032553	1.563224460310968	-28.38774652843512	-26.177013295629987	0.578777000641307	0.05290564924800388	0.5413670572949665	0.6161869439876475	-2.2313668201917745	0.2789147445760864	-2.4285893274544392	-2.03414431292911	-2.28332798971221	0.29058273813221114	-2.488801014341251	-2.0778549650831684	0.05196116952043458	0.011667993556125236	0.043710652154057485	0.06021168688681167	-3.201853805476877	0.37462448224618244	-3.4667533172716523	-2.9369542936821023	-3.0806575386750934	0.3737307612343096	-3.344925094281884	-2.8163899830683023	-0.12119626680178433	0.0008937210118725142	-0.12182822298976828	-0.12056431061380037	-0.259984001010591	0.033851227483243256	-0.28392043351548074	-0.23604756850570127	-0.24594686340694574	0.03422056110375344	-0.2701444542194184	-0.22174927259447308	-0.014037137603645323	0.00036933362051014664	-0.014298295911228227	-0.01377597929606242	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.7666666666666666	0.04714045207910324	0.7333333333333333	0.8	0.6000000000000001	0.28284271247461906	0.4	0.8	0.5333333333333333	0.11785113019775793	0.45	0.6166666666666667	0.6	0.41082387856999336	0.409440670102201	0.0013832084677923879
only	generated	5.0	none	2	0,1	15.0	16.666666666666668	-23.501749105914367	1.1356943288167796	-24.304806267175817	-22.698691944652918	-24.201722373357462	1.189493699076653	-25.042821434153232	-23.36062331256169	0.6999732674430914	0.05379937025987623	0.661931367908767	0.7380151669774158	-1.9713828191811837	0.24506351709284332	-2.1446688939389587	-1.7980967444234088	-2.037381126305264	0.25636217702845837	-2.218656560121833	-1.856105692488695	0.0659983071240799	0.011298659935615093	0.05800894806528571	0.0739876661828741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0												
only	generated	5.0	random_mean	2	0,1	15.0	16.666666666666668	-31.78699151915476	2.2202931928346783	-33.35697589203049	-30.217007146279027	-32.36024088818646	2.1726684838747805	-33.89654950640461	-30.823932269968306	0.5732493690316958	0.047624708959899176	0.5395736143741153	0.6069251236892762	-2.642190698761768	0.37502102007977056	-2.90737060514767	-2.3770107923758657	-2.6927686598144103	0.3739992422599057	-2.95722606017502	-2.4283112594538006	0.0505779610526422	0.0010217778198642576	0.04985545502735018	0.051300467077934224	-8.285242413240395	1.084598864017897	-9.052169624854676	-7.518315201626113	-8.158518514829	0.9831747847981205	-8.853728072251375	-7.463308957406624	-0.12672389841139545	0.1014240792197755	-0.19844155260330032	-0.055006244219490595	-0.6708078795805843	0.12995750298692715	-0.7627017112087116	-0.5789140479524572	-0.6553875335091466	0.11763706523144772	-0.7385695000531874	-0.5722055669651056	-0.015420346071437715	0.012320437755479351	-0.02413221115552393	-0.006708480987351498	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.7666666666666666	0.04714045207910324	0.7333333333333333	0.8												
only	gold	0.5	localized	2	0,1	15.0	1.0	-24.266667171319327	0.16977569352965122	-24.386716715494792	-24.14661762714386	-24.45308069785436	0.09783479947918268	-24.522260348002117	-24.383901047706605	0.18641352653503418	0.07194089405046955	0.1355436325073242	0.23728342056274415	-1.8858109068301432	0.22748822409661806	-2.046669372728947	-1.7249524409313397	-1.897307950974658	0.21888054778969748	-2.0520798705865793	-1.7425360313627367	0.011497044144514648	0.008607676306920754	0.005410497857632205	0.01758359043139709	-0.14448342720667523	0.1605899845819956	-0.2580376942952474	-0.030929160118103028	-0.10198002258936564	0.12106804179636003	-0.1875880559285482	-0.016371989250183107	-0.04250340461730957	0.039521942785635554	-0.07044963836669922	-0.014557170867919921	-0.013306605758392381	0.02230975006292356	-0.029081981314462633	0.002468769797677872	-0.011068760295850707	0.01901664984421401	-0.02451556235614454	0.0023780417644431247	-0.002237845462541673	0.003293100218709543	-0.004566418958318093	9.072803323474746e-05	0.7	0.04714045207910316	0.6666666666666666	0.7333333333333333	0.6666666666666666	0.0	0.6666666666666666	0.6666666666666666	0.045454545454545456	0.0642824346533225	0.0	0.09090909090909091	0.5666666666666667	0.23570226039551578	0.4	0.7333333333333333	0.5	0.04714045207910316	0.4666666666666667	0.5333333333333333	0.5	0.04714045207910316	0.4666666666666667	0.5333333333333333	0.4666666666666667	0.0	0.4666666666666667	0.4666666666666667	0.5	-1.1918230444608417e-05	0.0021268186214571153	-0.0021387368519017237
