generation_rank	just_response	wo_just_response
generation_0	But she is a very great one. I have been in Australia for four years. I can remember the first day I went to her class. Sue put all us to sit in a circle. Then she went round to each of us and introduced herself	She works in a language school. Her students are mostly adults. Some of them are working. They want to be able to use English at work. Some of her students are shopping shoppers. They want to be able to buy things online using English.
generation_1	It's not that big a deal.' So, I've been telling my students, 'You need to be proud of what you do,' and I think that's helped them to change their mind about how they view their own work and what they do	She is very kind and likes kids. She teaches French at a high school. There are about 800 students in the school. They are from different places. Some are from Canada. Some are from China. They come to study in America. Sue
generation_2	We learn something about her when she reads the information on the wall. All the students love her because she is not only a teacher but also a friend. Question: What's Sue's job? - A nurse. - A doctor. - A	Last week she had to get some books from the library. On Monday she went to the library and found the books she wanted. She looked at the list of books on Monday. On Tuesday she telephoned the library to see if the books were
generation_3	Her children go to a good school. They all study hard. Sue is happy. The school is not far from her home. She often walks to school. She knows all her children's friends. Each of them likes her. They all call her	Every day, she brings her class to the reading room on the second floor. The children are having their reading lesson. Sue is looking at their work. Lucy is looking, too. Lucy likes reading very much. She can borrow lots of books from
generation_4	She's nice, but she has a lot of rules about our homework. I think she gives us too much homework. And, sometimes, I don't know what the homework is about. I always try my best to do my homework, but I	She teaches English. She works in a language school. The school is big and nice. There are fifteen classrooms  in the school. There is a computer room with 20 computers. The school has a library. There are 3,000 books
generation_5	"She can't do anything. ""  ""But can you speak English?"" ""Yes, a little. "" ""Then _ can you help me?"" ""Yes, of course. "" Question: What is the man? - He is a student."	She has to speak English every day. She speaks English in class. She speaks English with her students. She reads English stories and newspapers. She likes listening to English songs. She likes watching TV in English. All these help her very much. And
generation_6	She is a very good teacher. She works very hard. She is often at school before seven o'clock in the morning. She leaves school at about five o'clock in the afternoon. Then she goes to many children's homes. She often works at	She has taught English to people of different ages. She says younger students are often better than older ones because they are more willing to take risks with the language. She believes the best students are those who have good attitudes and are not afraid to make mistakes
generation_7	But she is quite different. She is not like the English teachers in China. First of all, she doesn't look like one. She doesn't wear her hair in a plait  and doesn't speak in a loud voice. Secondly, she	I think she's the best teacher in the school. She's very nice to us. We all like her a lot. Sue is very beautiful. She has long blonde hair and blue eyes. She often wears a dress or a skirt. Sue is
generation_8	She is very young. I'm Chinese. My name is Li Hua. I'm twelve. I'm from Nanjing, China. I want to be a teacher. I like children. I'm a student in a secondary school. I'm	She loves teaching English. She works very hard. Usually she goes to work at 8:00 in the morning and finishes at 4:00 in the afternoon. And then she reads books at home. She also watches English-speaking TV programs.
generation_9	She is in her 40s and she has been teaching English in China for over 10 years. She speaks English very well and she once lived in the USA. Now she works in a language center in Nanjing. She teaches students from all	She works in a language school. There are many students in the school. They come from different countries. Some are from English-speaking countries like the United States or Canada. Others come from Japan, Korea and China. They want to learn English. Of
generation_10	But she has a dream. She wants to make her own house. It will be a large house with three bedrooms and two bathrooms. There will be a garden in front of the house. There are many beautiful flowers in the garden. Sue's house	She works for a language school near London. She teaches English to young people, mostly teenagers, from all over the world. Her students come from Korea, Japan, China, Brazil and Mexico. Some are rich, others are poor. Some are very
generation_11	But she works hard. She learns a lot about the school and children. She knows some of the students' homes. She learns English there. Sue teaches English well. Children like her. She often plays games with them. She dances with them.	She works in a high school. She is a good teacher and is loved by her students. Her classes are always interesting. They are like parties. Every time when Friday comes, she will have a party in her class. On Monday, she had
