Just	JustEncouragedPreadd	JustNoPreadd	NoJust	JustDiscouragedPreadd	NoJustNoPreadd
"Dave says ""Betsy's picky, she just eats chicken nuggets.""
Then Sally asks "	"  “Have we had blueberry cookies yet?”
and everyone remembers Milhouse's question about where maple syrup comes from.Both teams would have been worse with Aaron Rodgers or Peyton Manning instead of Luck.
I think we would have had Rodgers.
Gotta go through us first though.
"	" ""What kind?""  Sally never fails"	"Dave says ""Betsy's picky, she eats chicken nuggets.""
Then Sally asks "	" >Is Betsy a chicken?My first robot mod purchase.  I could afford and find a Maelstrom, but not Thunder clap.
It feels so slanted under your finger too.What a cutie, sorry for your loss, sending you positive vibes
Thank you... I teared"	" ""So quiche?"""
"Dave says ""Despite claiming she went on an extravagant European trip, Sarah just went to Spain.""
Then Sally asks "	" “And Britons.” Gets a resounding “everyone?!”
Absolutely. To a Brit abroad, I’d think “Everyone? Because that doesn’t make sense”. apparently not!
Probably British people abroadomg these are so cute! I'll have"	"  ""And where is Spain?""
I am usually terrible (or funny, depending on your perspective) at geography. Could you help me out?
Central Europe
It was a given or I would have never tried to Google it. Works for Cairo too.
Wow someone takes to Google like that.
Or"	"Dave says ""Despite claiming she went on an extravagant European trip, Sarah went to Spain.""
Then Sally asks "	" “Not with Terry was it?”
Sarah nods.  ""He said he was in Spain so I went to Spain and this morning he said he was there, not with me. I left him in Brighton because I believed him.""I like extreme opposites that work very well together. A good"	 >Your mother told us Rachel went on an expo to Praiano,Italy after all... why not Spain?   Dave said because the bill-boards were on a beach there, so he decided to go there, despite seeing other bill boards that said Praiano...
"Dave says ""He won't want any, John just drinks distilled water.""
Then Sally asks "	"  ""Is he living with Mommy and Daddy?""
Hahahaha oh shit, he totally said that!Sunday on MSNBC’s “AM Joy,” Sen. Kristen Gillibrand (D-NY) said President Donald Trump was purposefully being “horrific” in his"	" ""Did you see Patrick's thing?""  I'm surprised Dave didn't pause and be like ""Did you miss all the hilarious inside jokes, and did you also miss the part when we said"" Patrick was very curious""?""  Of course, I'm just doing drugs so what do I know."	"Dave says ""He won't want any, John drinks distilled water.""
Then Sally asks "	"  ""Finest waht wadeveur?""
you think she puts together some of this? i lost it on that exchange.FREE SCREW DATING

Name: Kiki

Age: 59

Heigh: 5'.6""

Weight: 45 kg.
"	" ""How can you do that?"""
"Dave says ""Yvonne just thinks about becoming an astronaut.""
Then Sally asks "	"  *""What?""*
*I don't know what it is but the way it gives it to you, like climbing Mount Everest. Then the subsequent burn up
I would think somebody finding love would be the biggest burn of all...
Yeah agreed !
Shit, I got upvoted.."	" "" Is that really an occupation?""  LOLOLOL  I just cracked up in a public restroom."	"Dave says ""Yvonne thinks about becoming an astronaut.""
Then Sally asks "	" ""Yvonne thinks about basement-dwelling.""  Farva immediately sees this and can't let that fly.
>Farva immediately sees this and can't let that fly.  ""Well, I think that's just sick, I think if you do that you're uptight man.""Don"	" ""Will you be making any other requests for this meet up? """
"Dave says ""Ian just cares about playing tennis.""
Then Sally asks "	"  ""What kind of idiot just cares about playing tennis?!""UFC Fight Night: Velasquez vs. Benavidez II picks and predictions
An UFC Fight Night card is on tap for Saturday in Las Vegas, with a women's strawweight bout featuring Holly Holm and Virna Jandiroba head"	"  ""whilst I do care about playing golf""
Perfect name by the way."	"Dave says ""Ian cares about playing tennis.""
Then Sally asks "	"
""Who?""
Who cares!
I don't, hardly any of us play tennis anymore.
Am I gonna be expected to break out my rackets and get back in there.
OK.
Well, if you do, I'll never be allowed
To play tennis ever again
Unless I keep"	"  ""why didn't you tell the ducks to swim? They were on lily pond & they didn't."""
"Dave says ""My mom just runs and skis.""
Then Sally asks "	"~~who cuts her hair.~~ how did she learn to stop skiings and start walking?
Seth walks over and says he cuts her hair.Arrest made after shooting victim is struck while standing inside his own car
MIAMI (WSVN) - A man in Miami was taken to the hospital"	" ""Does Dave run at all? Your mom sounds tough.""
""Didn't she have like a war wound on her leg?""
""Yeah, but she used to get in fights all the time.""
""I talked to these three girls from school the other day. Oh my God, girls are gonna love"	"Dave says ""My mom runs and skis.""
Then Sally asks "	"  ""Now why would either of you run?   Is your mom okay?""
Or: Why are you running in the snow?
Or: Gumby, why are you running?
That's the one, thanks :)  There was no rhyme nor reason other than we were goofin' around."	" ""Does she wear wool?"" to which Dave responds ""Good God yes.""  When it comes to skiing, she knows what she's doing lol
In S7E5 he also says they call it the ""Alpine Slide,"" to be relevant to skiers quick-hitting slides."
"Dave says ""The dog ate just two times today.""
Then Sally asks "	" ""All you can eat at our Christmas party then?!""Blame Cox and the Neutron Error bar.
We all know it's Colin's fault.Nick Yarris

Nick Yarris is a former Australian international rugby league footballer who played in the 1990s and 2000s.

Yar"	" ""How long did it take you the first time?"" ""About 20 minutes""
Sally needs to shave.
Or wax, apparently."	"Dave says ""The dog ate two times today.""
Then Sally asks "	" > Can I have one?
- Does it make a sound?
- What noise does the dog make when he eats?
- Is dog's noise good?  I had no idea what to answer at this point and was left gobsmacked.
The world wasn't meant for people like me who"	"  ""Isn't he ill?""
""Yeah but the dog keeps eating."""
"Dave says ""What is this, I just ordered a salad.""
Then Sally asks "	" ""Taco salad?""
*Sally leaves the house to go to Taco Bell, screaming ""Taco Salad!""*  Episode ends as a screen pops up that says 9PM is the premier on Monday, March 12th on FOX.
Nah, we'll get there in a few months. He pitches"	"  ""Why is this, I just ordered a salad"""	"Dave says ""What is this, I ordered a salad.""
Then Sally asks "	" ""But it's got so much cheese!""  And Dave is like ""more cheese it has, the better""Disaster tax? Bill would eliminate federal limits on property tax loss
Florida mayor Frank Catania. (Photo: PHOTO SUPPLIED)
Suspending Florida's local tax collection for an upcoming state"	" ""Honey, did you eat the salad?""  And Dave replies ""No, but the salad ate me""."
"Dave says ""Just Alice came to the party last night.""
Then Sally asks "	" ""Well Just Alice I don't know why you came last night but you ruined it.”  and Just Alice replies “*Oh I don't know. Maybe I wanted to make sure that you boys got your kicks*.""
I love Garden State.On some boards, there's a group called"	" ""Where did she go?"""	"Dave says ""Alice came to the party last night.""
Then Sally asks "	" ""how was it?""
And Dave replies
""Alice came to the party last night.""
Then Sally asks
""how was it?""
And Dave replies
""Like taking candy from a baby. ""

""Alice came to the party last night.""
Then Sally asks
""how was it?"""	" ""What did you do Last night?""  ""Did you see a midnight show?"""
"Dave says ""Just five kids came to my niece's birthday party.""
Then Sally asks "	" ""And how many children is that supposed to represent?"" because they aren't all that different.The Manila Times Online
RELEASE : MARCH 28, 2018
To help secure the Philippines' maritime zones, the Spanish Coast Guard has sent two vessels to Luzon to conduct the mission under its Coordinator for Maritime Security"	" ""how come SOME come to HER birthday party?""  And Dave says  ""Trick question! No kid at her party!"""	"Dave says ""Five kids came to my niece's birthday party.""
Then Sally asks "	"  ""do they call you Dave?""   and Dave replies: ""No it's davey""
Sally says  “I like Dave, Davey.”  *insert theme song*  All of the kids corrects her and says “That’s no name! That"	" ""Which one are you?""
Dave says he's the one with the earrings.
It's kinda like he beat her again when she said that."
"Dave says ""I just have watched Game of Thrones.""
Then Sally asks "	"  ""So your telling me that charity work is just for show and is not what your really all about?""   So once again Terry just ignore the question and acts like an arse... Just like he always does.
This is why I keep trying to tell everyone to vote for him, it’s"	" ""Will you dare to watch Twin Peaks b'c I am not going to""
I could never understand a word that Laura says. David Lynch wrote the script, right?
I figured it out when she'd say shit like ""I've got a feeling that they're out there, haven't they?"" ("	"Dave says ""I have watched Game of Thrones.""
Then Sally asks "	  >Has ever *read* Game of Thrones?   And Dave spits back   >They're not books honey!  Bulls, goats, smiley-Bears... Multiplayer only!  Money screamer, so now it's him-or-me?  Saskatchewan, last night's winner,	" ""Ugh Dave, that show's so bad!""
Lol there goes the rom-com
NO! This one is too funny! Let this one stand!"
"Dave says ""I just read sci-fi and fantasy.""
Then Sally asks "	" ""Dave, why do you like incest?""
""I dont know. I just like that it's so messed up that nobody thinks anything of it.""Masturbate over and over again
Don't forget the pornMercedes teams pleading to be competitive again.... I see a pattern here"	" ""I just read romance novels and biographies."""	"Dave says ""I read sci-fi and fantasy.""
Then Sally asks "	" ""What? Oh, I never heard that expression.  It means a 'fan' of the genre.""whether a different kind of pepper, for example, hasanj, is legal in a country is legal issue that is not only science based but rhyming echoloca.   but this article"	"  ""Silly Dave, science fiction's not a genre.""
Well, I'm pretty sure she said it wasn't a genre, which it isn't.
Yeahhh I completely missed that, and that's what I get all excited about.  Btw science fiction *is* is a genre. Sci"
"Dave says ""It's just me who snowboards.""
Then Sally asks "	" ""Well, maybe some friends?""  ""That's for two-timing freaks
and people who misuse apostrophe's.^I ^just ^detest ^people ^who ^misuse ^apostrophe's!
Something bad could happen if the cast never rehearses at all you girls?
"	" ""Who's with you?"""	"Dave says ""It's me who snowboards.""
Then Sally asks "	" Who?
Ya Dave wants to clarify haha12 gauge shotgun. This is a lot of fun especially casually. 5"" barrel, gas operated with 8"" or longer stock paired with a 165-170 grain goodlock or hefty tipped slugs and some buck shot.
This seems like a decent idea. I"	" ""What's it like?""
I can't remember feeling so stupid."
