id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-89.99578475952148	-90.02418327331543	8.228625256719418e-40	7.998231433650494e-40	0.028398513793945312	1.028805595959577	True
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-36.28271484375	-36.99755859375	1.748304819953071e-16	8.553905712720736e-17	0.71484375	2.0438673030416052	True
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-35.6947021484375	-36.2930908203125	3.1476600624106547e-16	1.7302582374844657e-16	0.598388671875	1.819185133305233	True
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-73.59716796875	-73.607421875	1.0893214800675014e-32	1.0782087515412768e-32	0.01025390625	1.010306657695311	True
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-18.9287109375	-20.064453125	6.016796046460423e-09	1.932496541730516e-09	1.1357421875	3.1134834741140027	True
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-25.684616088867188	-25.915573120117188	7.00346500334859e-12	5.5591654374124e-12	0.23095703125	1.2598051060355673	True
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-37.38121032714844	-37.016632080078125	5.828363476986574e-17	8.392299009992884e-17	-0.3645782470703125	0.6944894920982464	True
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-35.108642578125	-34.817138671875	5.656011205596059e-16	7.570225200103103e-16	-0.29150390625	0.7471390950851801	True
99	just	Jim, could you do me a favor?	Sure, just ask. What can I do for you?	Sure, ask. What can I do for you?	My car has a problem starting. Could you please take a look at it for me?	-50.927398681640625	-51.131561279296875	7.629775772290665e-23	6.220783475849303e-23	0.20416259765625	1.226497562873139	True
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	-29.447265625	-29.8115234375	1.6263538118564032e-13	1.129847617004645e-13	0.3642578125	1.4394452733086722	True
