id	word	context	w_word	wo_word	followup	log_prob_with_particle	log_prob_without_particle	prob_with_particle	prob_without_particle	log_prob_diff	prob_ratio	include_context
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	-89.99578475952148	-90.02418327331543	8.228625256719418e-40	7.998231433650494e-40	0.028398513793945312	1.028805595959577	True
7	just	Can you manage chopsticks?__eou__Why not? See.__eou__Good mastery. How do you like our Chinese food?__eou__Oh, great! It's delicious. You see, I am already putting on weight. There is one thing I don't like however, MSG.__eou__What's wrong with MSG? It helps to bring out the taste of the food.__eou__According to some studies it may cause cancer.__eou__Oh, don't let that worry you. If that were true, China wouldn't have such a large population.	I just happen to have a question for you guys. Why do the Chinese cook the vegetables? You see what I mean is that most vitamin are destroyed when heated.	I happen to have a question for you guys. Why do the Chinese cook the vegetables? You see what I mean is that most vitamin are destroyed when heated.	I don't know exactly. It's a tradition. Maybe it's for sanitary reasons.	-44.86790466308594	-44.939125061035156	3.266755193835623e-20	3.042187408208915e-20	0.07122039794921875	1.0738178670455156	True
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	-36.28271484375	-36.99755859375	1.748304819953071e-16	8.553905712720736e-17	0.71484375	2.0438673030416052	True
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	-35.6947021484375	-36.2930908203125	3.1476600624106547e-16	1.7302582374844657e-16	0.598388671875	1.819185133305233	True
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	-73.59716796875	-73.607421875	1.0893214800675014e-32	1.0782087515412768e-32	0.01025390625	1.010306657695311	True
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	-18.9287109375	-20.064453125	6.016796046460423e-09	1.932496541730516e-09	1.1357421875	3.1134834741140027	True
56	just	This skirt is too tight. I would like to return it please. Do I need to go to the customer's service desk?__eou__I can help you with that. Do you still have your receipt?__eou__No, I receive this as a birthday present, but the price tag is still on the skirt though. Will that be OK?__eou__Oh, yes, that will help me a lot.__eou__Do you have any more skirts in this style? I would like to find a size larger.__eou__I'm sorry. I think we're out of this skirt in this color. Do you want me to call another one of our store to see if it's available there?	No, that's all right. I'll just look for something else.	No, that's all right. I'll look for something else.	Well, your refund total is 50 dollars.	-43.06103515625	-42.801025390625	1.9898944768797993e-19	2.58077921915446e-19	-0.260009765625	0.7710440560396902	True
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	-25.684616088867188	-25.915573120117188	7.00346500334859e-12	5.5591654374124e-12	0.23095703125	1.2598051060355673	True
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-37.38121032714844	-37.016632080078125	5.828363476986574e-17	8.392299009992884e-17	-0.3645782470703125	0.6944894920982464	True
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	-35.108642578125	-34.817138671875	5.656011205596059e-16	7.570225200103103e-16	-0.29150390625	0.7471390950851801	True
