id	word	context	w_word	wo_word	followup	with-without_diff
5	just	Isn’t he the best instructor? I think he’s so hot. Wow! I really feel energized, don’t you?__eou__I swear, I’m going to kill you for this.__eou__What’s wrong? Didn’t you think it was fun?!	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m just not into this health kick.	Oh, yeah! I had a blast! I love sweating like a pig with a bunch of pot bellies who all smell bad. Sorry, I’m not into this health kick.	Oh, no, get off it. It wasn’t such a killer class. You just have to get into it. Like they say, no pain, no gain.	0.022647778200983293
16	just	I'm looking for a white purse as a gift. Could you show what you have in stock?	You are in luck. We just receive a shipment of several different styles of white purses.	You are in luck. We receive a shipment of several different styles of white purses.	They must be popular again this season.	0.0828113865253175
35	just	I'm looking for some black pumps to go with my evening gown. Could you show me what you have?__eou__Sure, we have several different styles you may choose. How high of a heel do you want?__eou__Not to high, maybe an inch or an inch in the half would be the best.	In that case, I might have just the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell just by looking at it that it was superbly made.	In that case, I might have the pair for you. Look at these, they were made in Italy, the leather is very soft, so your toes will not get pinched. You can tell by looking at it that it was superbly made.	Those are beautiful. Do you have any in a size six?	0.046419792115415914
36	just	Are you OK?	I'm fine. I'm just so touched by the sad story.	I'm fine. I'm so touched by the sad story.	So I can say now that you must have enjoyed the opera. Which scene is your favorite?	0.0613547932533991
37	just	Did anyone call?	Just Mr. White.	Mr. White.	What did he want?	0.09669005320622404
66	just	Ah, Oh! Are you hurt?	I don't think so. I'm just shaken up a little.	I don't think so. I'm shaken up a little.	Maybe I'd better call an ambulance.	0.10231077269533095
77	just	May I please speak to Tom?__eou__Tom has gone to lunch.	I'll just try him again.	I'll try him again.	Do you want me to have him give you a call?	-0.08649049033509915
95	just	Jessie, I’m afraid I can’t come back home for dinner tonight.__eou__Not back home for dinner again? That’s the third time this week!	I’m sorry. Our company has just opened. There are always too many things to handle. You know that.	I’m sorry. Our company has opened. There are always too many things to handle. You know that.	You don’t have to explain. Suit yourself.	0.09568835457823788
147	just	How can I get to Lakeside Park?	Take the No. 7 bus. There's a bus stop just over there.	Take the No. 7 bus. There's a bus stop over there.	Will it take me straight there?	0.042648650179005765
150	just	Hello. Excuse me. Do you know if there's a Commercial Bank around here?__eou__Yes, go straight along Beijing Road and turn right.__eou__Straight on, and turn right. Is it far?	No, it's just a couple of minutes.	No, it's a couple of minutes.	Thanks very much.	0.054746378531768114
186	just	Peter, go and tidy up your toys now.__eou__Wait a moment, mom.__eou__I'm mad! I said now! Turn off the TV, and do it now.	Mom, just ten more minutes. The show is going to be over soon.	Mom, ten more minutes. The show is going to be over soon.	Peter, if you don't do it soon, I will throw your toys in the trash can.	0.055397657032465464
244	just	I would like to buy a black suit.__eou__Do you have any special brand in your mind?	No, I never wear suit in my everyday life. I just want one to take part in my sister’s wedding ceremony.	No, I never wear suit in my everyday life. I want one to take part in my sister’s wedding ceremony.	I see. Have a look at this one. It’s very cheap because it’s not very durable.	0.06286375478461959
272	just	Where's the nearest tailor's?	There is one just around the corner.	There is one around the corner.	The jacket is tight in the shoulders and long in the sleeve. What about the price there?	0.056838083036856
