judge_id,judge_type,data_id,word,preference_strength
5a7255c8c2eb6c00017e2dcf,human,just_e_1907,just,1.0
5a7255c8c2eb6c00017e2dcf,human,only_1142,only,7.0
5a7255c8c2eb6c00017e2dcf,human,only_965,only,1.0
5a7255c8c2eb6c00017e2dcf,human,just_j_10613,just,7.0
5a7255c8c2eb6c00017e2dcf,human,not_729,not,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_7769,just,7.0
5a7255c8c2eb6c00017e2dcf,human,not_319,not,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00008,control,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_4012,just,7.0
5a7255c8c2eb6c00017e2dcf,human,only_1446,only,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00011,control,7.0
5a7255c8c2eb6c00017e2dcf,human,only_1038,only,7.0
5a7255c8c2eb6c00017e2dcf,human,not_81,not,7.0
5a7255c8c2eb6c00017e2dcf,human,not_865,not,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_8011,just,7.0
5a7255c8c2eb6c00017e2dcf,human,not_686,not,7.0
5a7255c8c2eb6c00017e2dcf,human,just_e_1001,just,7.0
5a7255c8c2eb6c00017e2dcf,human,only_966,only,7.0
5a7255c8c2eb6c00017e2dcf,human,only_2232,only,1.0
5a7255c8c2eb6c00017e2dcf,human,control_00010,control,7.0
5a7255c8c2eb6c00017e2dcf,human,not_383,not,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00018,control,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00023,control,7.0
5a7255c8c2eb6c00017e2dcf,human,not_367,not,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_1461,just,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_7873,just,7.0
5a7255c8c2eb6c00017e2dcf,human,only_501,only,1.0
5a7255c8c2eb6c00017e2dcf,human,only_1493,only,1.0
5a7255c8c2eb6c00017e2dcf,human,only_1891,only,4.0
5a7255c8c2eb6c00017e2dcf,human,not_226,not,7.0
5a7255c8c2eb6c00017e2dcf,human,only_1888,only,1.0
5a7255c8c2eb6c00017e2dcf,human,control_00000,control,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_2438,just,1.0
5a7255c8c2eb6c00017e2dcf,human,just_e_9268,just,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00028,control,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00013,control,7.0
5a7255c8c2eb6c00017e2dcf,human,only_1272,only,7.0
5a7255c8c2eb6c00017e2dcf,human,only_794,only,7.0
5a7255c8c2eb6c00017e2dcf,human,only_1579,only,7.0
5a7255c8c2eb6c00017e2dcf,human,not_1602,not,7.0
5a7255c8c2eb6c00017e2dcf,human,just_e_5138,just,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00021,control,7.0
5a7255c8c2eb6c00017e2dcf,human,not_949,not,7.0
5a7255c8c2eb6c00017e2dcf,human,not_768,not,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00027,control,7.0
5a7255c8c2eb6c00017e2dcf,human,only_1602,only,7.0
5a7255c8c2eb6c00017e2dcf,human,only_660,only,7.0
5a7255c8c2eb6c00017e2dcf,human,only_2333,only,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00016,control,7.0
5a7255c8c2eb6c00017e2dcf,human,only_1368,only,7.0
5a7255c8c2eb6c00017e2dcf,human,only_687,only,7.0
5a7255c8c2eb6c00017e2dcf,human,not_1647,not,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00024,control,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_12662,just,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00020,control,7.0
5a7255c8c2eb6c00017e2dcf,human,only_2405,only,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_12718,just,7.0
5a7255c8c2eb6c00017e2dcf,human,not_7,not,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_788,just,7.0
5a7255c8c2eb6c00017e2dcf,human,not_702,not,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00022,control,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_8242,just,1.0
5a7255c8c2eb6c00017e2dcf,human,control_00026,control,7.0
5a7255c8c2eb6c00017e2dcf,human,control_00015,control,7.0
5a7255c8c2eb6c00017e2dcf,human,just_j_2164,just,1.0
5a7255c8c2eb6c00017e2dcf,human,only_745,only,7.0
5a7255c8c2eb6c00017e2dcf,human,not_1570,not,7.0
5a7255c8c2eb6c00017e2dcf,human,only_649,only,7.0
5a7255c8c2eb6c00017e2dcf,human,not_460,not,7.0
