model	particle	median_delta	ci_low	ci_high	pct_positive	n_used	n_total	n_outliers	source_path
Llama 3 8B	just	0.0568020423253377	0.0498223475920851	0.0635871361041893	69.66993755575379	1121	1182	61	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_just_dd_removal.csv
Llama 3 8B	only	0.0710250916019563	0.0607755689909965	0.0842292800782218	73.77521613832853	347	360	13	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_only_dd_removal.csv
Llama 3 8B	not	0.3732473313430398	0.3581669512249175	0.3882571571013506	97.0843183609141	1269	1307	38	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/llama3/Meta-Llama-3-8B_context_filtered_not_dd_removal.csv
OLMo-2 7B	just	0.060249448475684655	0.0544109449629143	0.06921172057574075	72.03237410071942	1112	1182	70	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/olmo2/OLMo-2-1124-7B_context_filtered_just_dd_removal.csv
OLMo-2 7B	only	0.0979480531768524	0.0792052243170235	0.1182603812319456	77.07736389684814	349	360	11	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/olmo2/OLMo-2-1124-7B_context_filtered_only_dd_removal.csv
OLMo-2 7B	not	0.4154342393765504	0.3904182686202826	0.4333621843655904	98.03613511390417	1273	1307	34	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/olmo2/OLMo-2-1124-7B_context_filtered_not_dd_removal.csv
Qwen3.5 9B Base	just	0.0437572967595066	0.03435282280182989	0.0494099165263928	65.97845601436265	1114	1182	68	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/qwen3_5/Qwen3.5-9B-Base_context_filtered_just_dd_removal.csv
Qwen3.5 9B Base	only	0.0694731984819685	0.0498077631675959	0.08444271359781078	71.63323782234957	349	360	11	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/qwen3_5/Qwen3.5-9B-Base_context_filtered_only_dd_removal.csv
Qwen3.5 9B Base	not	0.32746118598686147	0.3180465698242187	0.3453851699829102	96.63009404388715	1276	1307	31	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/qwen3_5/Qwen3.5-9B-Base_context_filtered_not_dd_removal.csv
Gemma-2 9B	just	0.050661595764323	0.04251472329642065	0.05810434951004321	69.72972972972973	1110	1182	72	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/gemma2/gemma-2-9b_context_filtered_just_dd_removal.csv
Gemma-2 9B	only	0.07534198683334786	0.0639061416898449	0.0894063291362687	73.85057471264368	348	360	12	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/gemma2/gemma-2-9b_context_filtered_only_dd_removal.csv
Gemma-2 9B	not	0.3446294646109302	0.3308585114551312	0.3579182316859568	97.71473601260836	1269	1307	38	/datastor1/jiahuikchen/Just_LLMs/particle_removal/results/gemma2/gemma-2-9b_context_filtered_not_dd_removal.csv
